Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 12/06  04:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,73171705.87287942,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,17674738.484807757,341464278.356018,341464278.356018,282264730.6926981,0.0,266999847.96624447,0.0,27537595.2093215,0.0,241217272.86779703,0.0 
 12/06  05:00:00,7.2,30.0,15.6,26.7,15.5,30.0,69043501.95166363,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,13546534.56359197,262786687.34427203,262786687.34427203,217816815.05606119,0.0,205485329.3571863,0.0,21424843.128234306,0.0,179754257.6529888,0.0 
 12/06  06:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,73136583.3120181,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,17639615.923946438,341685602.79098227,341685602.79098227,282387180.58873119,0.0,267186964.94280655,0.0,28144020.133366374,0.0,240267221.40690518,0.0 
 12/06  07:00:00,7.2,30.0,15.6,26.7,21.0,30.0,96041573.28996663,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,40544605.90189497,390571341.53717437,390571341.53717437,317830245.8342776,0.0,306724520.1308427,0.0,88394728.93154018,0.0,248288347.11537443,0.0 
 12/06  08:00:00,7.2,24.0,15.6,26.7,21.0,24.0,136605377.29411573,0.0,0.0,78929634.18766754,0.0,18208794.2057739,39466948.90067429,318398628.9284721,318398628.9284721,262248406.87702168,0.0,249933159.35864569,0.0,68528931.43516901,0.0,220871176.82415039,0.0 
 12/06  09:00:00,7.2,24.0,15.6,26.7,21.0,24.0,206951097.72940368,0.0,0.0,138126859.82841818,0.0,29134070.729238243,39690167.17174732,262001512.79358647,262001512.79358647,219477159.81300823,0.0,205653703.5606603,0.0,56940722.924184549,0.0,188179929.537147,0.0 
 12/06  10:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,208402956.04210068,208402956.04210068,179856847.2742229,0.0,163662978.4249519,0.0,49586688.14220447,0.0,153543239.18341718,0.0 
 12/06  11:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,163970901.80007053,163970901.80007053,147253795.57496877,0.0,128825636.19339162,0.0,42373091.231135848,0.0,125919493.86292722,0.0 
 12/06  12:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,129758916.06950508,129758916.06950508,122453871.38900765,0.0,102054112.38222808,0.0,38926093.57823541,0.0,102594967.704664,0.0 
 12/06  13:00:00,7.2,24.0,15.6,26.7,21.0,24.0,226728149.93053524,0.0,0.0,157859268.37533508,0.0,29134070.729238243,39734810.825961928,106036548.97430185,106036548.97430185,106346059.07600358,0.0,83503201.4301787,0.0,37027508.866601828,0.0,85942641.4642497,0.0 
 12/06  14:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,89020193.77626458,89020193.77626458,93670525.38234595,0.0,70189327.21819861,0.0,35382822.56616043,0.0,74273453.55271146,0.0 
 12/06  15:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,90415560.9023881,90415560.9023881,94387913.36420939,0.0,71263472.82227433,0.0,34813192.39413506,0.0,75917229.3288119,0.0 
 12/06  16:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,96396012.98371342,96396012.98371342,98444053.63993339,0.0,75919961.4406429,0.0,34482632.191528458,0.0,80904278.14978817,0.0 
 12/06  17:00:00,7.2,24.0,15.6,26.7,21.0,24.0,276871317.3186068,0.0,0.0,177591676.9222519,26769000.0,32775829.57039302,39734810.825961928,117080260.54540412,117080260.54540412,113125616.67447783,0.0,92129625.66834499,0.0,37520677.374861437,0.0,94075897.19415693,0.0 
 12/06  18:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,112668302.32331203,0.0,0.0,59197225.640750627,32122800.0,14567035.364619121,6781241.317942282,127075842.31040849,127075842.31040849,104955114.24053715,0.0,99119157.00211863,0.0,0.0,0.0,105900398.32005947,0.0 
 12/06  19:00:00,7.200000000000003,30.00000000000001,15.600000000000004,26.700000000000004,15.500000000000006,30.00000000000001,62486005.55606673,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,6989038.167995073,133359945.91511402,133359945.91511402,110571586.9715853,0.0,104204396.83373441,0.0,7688754.118988489,0.0,103504680.88274023,0.0 
 12/06  20:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,65151545.97150857,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,9654578.58343691,183996194.2305049,183996194.2305049,152225758.1742679,0.0,143713763.1834926,0.0,8236928.860888663,0.0,145131412.90604065,0.0 
