Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 01/15  16:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,8948282.464035824,0.0,0.0,990009.6523200001,0.0,5940057.91392,2018214.897781286,0.000014538461538461542,1041408.755101389,969408.755101389,72000.0,2616219.997189672,0.0,67978.94621039856,775527.0040811112,0.0,0.0,0.0,0.0,0.0,1061337.938485745,0.0,1732403.963376661,0.0,0.0,0.0 
 01/15  17:00:00,1247310.4951968603,0.0,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,13907332.092920473,0.0,0.0,990009.6523200001,4145400.0,5940057.91392,2831864.5266659336,0.000014538461538461542,3504347.300160718,1873238.7033065409,1631108.5968541774,4074692.8425252095,0.0,67978.94621039856,1498590.9626452327,0.0,0.0,0.0,0.0,0.0,1100230.871326117,0.0,2610415.7122961559,0.0,619808.9056888858,0.0 
 01/15  18:00:00,0.0,0.0,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,18443930.996427098,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,3223063.430172559,0.000014538461538461542,2797105.5890953179,2725105.5890953179,72000.0,5159390.750163447,0.0,67978.94621039856,2180084.4712762546,0.0,0.0,0.0,0.0,0.0,1789525.2079899507,0.0,2252233.7700869676,0.0,1361388.923371918,0.0 
 01/15  19:00:00,1247290.498259284,0.0,0.0,15.6,26.700000000000004,15.6,26.700000000000004,15.6,26.700000000000004,15.6,26.700000000000004,15.6,26.700000000000004,18690182.382112307,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,3469314.815857765,0.000014538461538461542,5721876.7515713539,4090793.150415846,1631083.6011555072,6480987.837223907,0.0,67978.94621039856,3272634.5203326775,0.0,0.0,0.0,0.0,0.0,1559758.7809376373,0.0,3357505.923972393,0.0,1824684.631280424,0.0 
 01/15  20:00:00,1247302.5415563815,0.0,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,18443930.996427098,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,3223063.430172559,0.000014538461538461542,5583585.075568098,3952486.420576267,1631098.6549918303,6058562.274266517,0.0,67978.94621039856,3161989.136461014,0.0,0.0,0.0,0.0,0.0,2244502.199902041,0.0,2400886.3006693136,0.0,1739664.0660622465,0.0 
 01/15  21:00:00,0.0,0.0,0.0,15.6,26.700000000000004,15.6,26.700000000000004,15.6,26.700000000000004,15.6,26.700000000000004,15.6,26.700000000000004,18690182.382112307,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,3469314.815857765,0.000014538461538461542,3955262.8419339556,3883262.841933955,72000.0,6259610.463365505,0.0,67978.94621039856,3106610.273547164,0.0,0.0,0.0,0.0,0.0,1680533.8906275649,0.0,2951131.333287438,0.0,1944259.8654899328,0.0 
 01/15  22:00:00,1247330.043944494,0.0,0.0,15.599999999999996,26.699999999999993,15.599999999999996,26.699999999999993,15.599999999999996,26.699999999999993,15.599999999999996,26.699999999999993,15.599999999999996,26.699999999999993,18889441.4169032,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,3668573.850648662,0.000014538461538461542,6646461.61633086,5015328.584004832,1631133.032326027,7347532.599300082,0.0,118963.1558681975,4012262.867203866,0.0,0.0,0.0,667390.4184746143,0.0,2445245.248486,0.0,2627807.4382463947,0.0,1940393.6126455183,0.0 
 01/15  23:00:00,1247310.0075358514,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19517558.877282215,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4296691.31102767,0.000014538461538461542,6910213.971426006,5279105.98413655,1631107.987289458,8215964.628353193,0.0,67978.94621039857,4223284.787309241,0.0,0.0,0.0,1059598.5767753656,0.0,1925694.061132357,0.0,3292128.6476995379,0.0,2242554.8127296667,0.0 
 01/15  24:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19462240.528943905,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4241372.962689366,0.000014538461538461542,6126200.695805219,6054200.695805219,72000.0,8733901.249100276,0.0,67978.94621039856,4843360.556644175,0.0,0.0,0.0,1630489.4154253756,0.0,2607195.287820444,0.0,2773228.3246747029,0.0,2073820.49141307,0.0 
 01/16  01:00:00,1247231.5262546996,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19708491.914629114,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4487624.348374572,0.000014538461538461542,8412574.25622641,6781564.368680845,1631009.8875455638,9616359.902220309,0.0,68078.83092968332,5425251.494944677,0.0,0.0,0.0,1750306.9284582409,0.0,2109593.036384236,0.0,3555515.3891656075,0.0,2497460.489311192,0.0 
 01/16  02:00:00,1247310.8735644073,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19716817.912073107,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4495950.345818568,0.000014538461538461542,10069405.455768545,8438296.385963889,1631109.069804655,10895549.558276682,0.0,68078.83092968332,6750637.108771112,0.0,0.0,0.0,2748672.0824908588,0.0,2987758.601612322,0.0,3118361.571582696,0.0,2391795.198903847,0.0 
 01/16  03:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,20564290.418716968,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5343422.852462429,0.000014538461538461542,9037682.712948742,8965682.712948742,72000.0,12169058.481331453,0.0,68078.83092968332,7172546.170358993,0.0,1054868.560553261,0.0,2324449.80994293,0.0,2373348.107342491,0.0,3931618.1892112579,0.0,2831684.355771499,0.0 
 01/16  04:00:00,1247311.3143853029,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19716817.912073107,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4495950.345818568,0.000014538461538461542,11068706.635137868,9437597.014317526,1631109.6208203412,11667729.193294477,0.0,68078.83092968332,7550077.611454021,0.0,0.0,0.0,3172763.28969558,0.0,3126866.3683931969,0.0,3256279.551064254,0.0,2490118.748119601,0.0 
 01/16  05:00:00,1247254.339563978,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19708491.914629114,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4487624.348374572,0.000014538461538461542,9832766.506855024,8201728.103212822,1631038.4036422016,10729855.128269889,0.0,68078.83092968332,6561382.482570259,0.0,0.0,0.0,2290611.209728203,0.0,2274006.9333760098,0.0,3772704.857105919,0.0,2711683.8307347798,0.0 
 01/16  06:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19716817.912073107,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4495950.345818568,0.000014538461538461542,9109310.571984036,9037310.571984036,72000.0,11359620.67359541,0.0,119137.95412694586,7229848.457587231,0.0,0.0,0.0,3144350.5770172749,0.0,3013678.2736568155,0.0,3154539.6496038578,0.0,2413230.3031278538,0.0 
 01/16  07:00:00,1247305.765803795,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19708491.914629114,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,4487624.348374572,0.000014538461538461542,9919254.680090562,8288151.994865777,1631102.6852247839,10799343.087927772,0.0,68078.83092968332,6630521.595892623,0.0,0.0,0.0,2391043.532941391,0.0,2265865.408700281,0.0,3748242.4744604739,0.0,2712994.528165087,0.0 
