Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/12  18:00:00,462382274.0955763,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1252721.2007768895,6812301.880256652,846721325.4250807,814447973.0121809,11540448.000000002,20732904.412899719,18408789.18249121,137037483.63578163,9728723.291105073,17111809.23805748,624574687.0826135,0.0 
 01/12  19:00:00,462737137.7012925,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,1654615.0069201547,6765271.679829662,1012085315.4262935,979754488.6900758,11540448.000000002,20790378.736217694,29899830.507268669,103117343.80972,18484512.391690159,16861063.802559828,743371975.3015741,0.0 
 01/12  20:00:00,463885645.92625728,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,2066542.1761840329,7501852.735530472,1160145496.567899,1117391572.0931679,11540448.000000002,31213476.47473125,39682942.47459153,81358498.84564366,24321694.25006175,19953833.369734628,850588057.0693567,0.0 
 01/12  21:00:00,464116720.6715002,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,2377901.405346777,7421568.251610665,1256093185.1767715,1213372826.220149,11540448.000000002,31179910.956622159,52836996.25686758,67979091.45237567,21403179.995816024,19571088.891419747,924942433.2670112,0.0 
 01/12  22:00:00,199565536.82917313,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.12778755507910356,6312830.342185543,32353475.787077328,0.0,11540448.000000002,20813027.787077324,0.0,0.0,21403177.621979774,17540148.17305707,0.0,0.0 
 01/12  23:00:00,199196213.97948856,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.06972799567852169,5943507.550560525,32284848.99236789,0.0,11540448.000000002,20744400.992367887,0.0,0.0,11674454.704555124,16250410.542033794,0.0,0.0 
 01/12  24:00:00,202074063.3270309,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.05224755680644863,8821356.915583332,21939321.362210998,0.0,11540448.000000002,10398873.362210995,0.0,0.0,8755846.925270832,20322456.583606267,0.0,0.0 
 01/13  01:00:00,205219626.48631037,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,52281.52005663172,6065740.26905251,40545217.56083171,18618421.144469985,11540448.000000002,10386348.41636172,15331025.687020127,38048974.16242032,4871484.874645533,16954537.162656156,26461164.34056786,0.0 
 01/13  02:00:00,204056797.00374563,0.0,0.0,57110192.35920001,30870000.0,105272514.0,4679118.67040096,52435.98147034853,6072535.992674288,33623630.49125189,22011182.49125189,11540448.000000002,72000.0,16023558.743112389,27258593.35903604,4871484.898647759,16990951.578362429,24935812.69902692,0.0 
 01/13  03:00:00,205247517.0370471,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,100050.87102720974,6045861.468818661,69044206.1463695,47117721.82407585,11540448.000000002,10386036.322293668,26961518.99445417,25429077.287901217,4871484.900827749,16832775.624686757,44145364.22770764,0.0 
 01/13  04:00:00,210273701.19403593,0.0,0.0,57110192.35920001,30870000.0,105272514.0,10855993.417879519,145569.06966908038,6019432.347287288,187830942.43796755,165904248.96379698,11540448.000000002,10386245.474170568,34277270.272955629,14792667.503046269,4871485.083410694,16676127.038085536,137182306.19310484,0.0 
 01/13  05:00:00,219319010.16425283,0.0,0.0,57110192.35920001,30870000.0,105272514.0,15932966.632472467,304546.5473739758,9828790.62520633,338923014.17502316,327310566.1750232,11540448.000000002,72000.0,75618141.00911263,12745855.848866079,4871485.093722044,32902801.497090125,250004216.07729418,0.0 
 01/13  06:00:00,215476369.02325399,0.0,0.0,57110192.35920001,30870000.0,105272514.0,12746373.305977975,287860.2865590167,9189429.07151695,313778570.30564799,291851990.7394255,11540448.000000002,10386131.566222463,80202765.42148169,8541929.416691216,4871485.055068539,30136945.86610291,223242242.32264854,0.0 
 01/13  07:00:00,238574891.43861694,0.0,0.0,57110192.35920001,30870000.0,107346114.0,26201683.414542837,9490361.606126044,7556540.058748053,2380659680.6382038,2358733582.945853,11540448.000000002,10385649.692350759,673726483.0952543,30498481.225941864,4871484.714301487,22884485.741174196,1737047411.848294,0.0 
 01/13  08:00:00,448445968.1727998,0.0,0.0,289899453.59999999,10290000.0,107346114.0,26201683.414542837,7858566.99903943,6850150.159217669,2134614693.1086212,2112672172.2432414,11540448.000000002,10402072.8653799,529824720.12446549,35304769.18939842,9742965.271928791,17421705.666029149,1620615419.1892963,0.0 
 01/13  09:00:00,597120789.3678827,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,3721898.852478167,6967498.500861874,1639267533.9208837,1511002766.602142,86553360.0,41711407.318741429,105871136.03368074,55986952.45039555,33125970.536889104,18097609.151463249,1159844833.6773456,0.0 
 01/13  10:00:00,596491229.9073945,0.0,5646.92012771449,289899453.59999999,0.0,270330255.0,26201683.414542837,2960583.477823074,7093607.494900947,1453572811.7473477,1293473427.6864768,86553360.0,73546024.06087098,37219632.10956497,107970715.47906137,58457816.984869558,18843384.585414735,991119827.4403882,70476.97733039095 
 01/13  11:00:00,610471675.923776,0.0,3202.3239325339,289899453.59999999,0.0,284728041.0,26201683.414542837,2514806.7422465474,7124488.843054265,1364917284.4135757,1165383700.7361778,115404480.0,84129103.67739792,19160319.84051735,146749593.70084334,61380708.61131446,19014375.64500589,892853886.3035247,37357.115169541445 
 01/13  12:00:00,612934715.0076315,0.0,0.0,289899453.59999999,0.0,284728041.0,26201683.414542837,2208563.2228181709,9896973.770270618,1202078584.0843583,1002308479.1802732,115404480.0,84365624.90408501,3758612.2850423085,224446823.46345438,70149309.2761019,22466817.730111228,767723086.0230706,0.0 
 01/13  13:00:00,610050957.0038972,0.0,0.0,289899453.59999999,0.0,284728041.0,26279153.35938099,1982899.241113835,7161409.803402489,1138530639.9438699,928010944.3621273,115404480.0,95115215.58174262,242572.8265002791,248210484.8549632,76968991.94039205,19209209.516277214,711968995.9701173,0.0 
 01/13  14:00:00,595666574.728862,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,1994752.7504038686,7240429.963915394,1150657462.6110154,987125460.8760195,57702240.0,105829761.7349959,0.0,208276954.59414033,80866409.25585459,19696867.643747145,754629615.3532844,0.0 
 01/13  15:00:00,595742054.8748444,0.0,0.0,289899453.59999999,0.0,270330255.0,26201683.414542837,2076755.403288567,7233907.457013043,1134001471.9451309,1002731512.3666439,57702240.0,73567719.57848707,0.0,213999702.2499848,59432116.24557473,19670469.222725318,768220008.7500812,0.0 
 01/13  16:00:00,588606575.2023879,0.0,0.0,289899453.59999999,0.0,263131362.0,26201683.414542837,2227936.6712612539,7146139.516583877,1156017324.986261,1060295711.0709055,11540448.000000002,84181165.9153558,8009945.152134743,199596270.32601566,63329298.6155947,19155072.268933149,811386742.5551381,0.0 
 01/13  17:00:00,603935271.1793105,0.0,0.0,289899453.59999999,15435000.0,263131362.0,26201683.414542837,2563734.081914872,6704038.082852841,1172709035.1426507,1150765833.468828,11540448.000000002,10402753.67382255,16905477.664468446,163128982.6516048,9742966.298388172,16519781.475960313,881220974.0658293,0.0 
 01/13  18:00:00,463886829.8325184,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,2910928.6693239805,6658650.148651778,1328438278.5282384,1306496264.464789,11540448.000000002,10401566.063449007,57199576.97476557,91056440.10695848,9742963.965335876,16254410.096700073,1002738086.5749958,0.0 
 01/13  19:00:00,464062464.0577412,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,3093803.831424186,6651409.2117743189,1409684953.4801479,1377354686.2455745,11540448.000000002,20789819.234573418,76205542.20209289,72896738.35596499,18511602.7225241,16209352.19511225,1051656391.7806542,0.0 
 01/13  20:00:00,463945060.3922729,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,2974993.9638301639,6652815.413899997,1417803289.7820745,1364679417.721359,11540448.000000002,41583424.06071538,89077346.34839592,63680171.98458781,24357253.95201813,16216077.449359302,1046342283.2182922,0.0 
 01/13  21:00:00,463836517.2042041,0.0,0.0,289899453.59999999,30870000.0,107346114.0,26201683.414542837,2862842.4219310667,6656423.767730259,1392010990.760954,1359659120.639093,11540448.000000002,20811422.121860744,105166955.76200257,61332881.57300212,21434493.02050034,16235055.687582013,1038524975.2974382,0.0 
 01/13  22:00:00,198969274.36982725,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.12786847899182525,5716567.882758726,42723585.13156087,0.0,11540448.000000002,31183137.13156087,0.0,0.0,21434470.327877694,14925097.191571463,0.0,0.0 
 01/13  23:00:00,199153137.8725036,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.06971737723912999,5900431.443586221,21949062.85844914,0.0,11540448.000000002,10408614.858449137,0.0,0.0,11691554.646687339,15993733.128094778,0.0,0.0 
 01/13  24:00:00,202044725.0395241,0.0,0.0,57110192.35920001,30870000.0,105272514.0,0.0,0.052338254358933338,8792018.627985836,32265516.661209134,0.0,11540448.000000002,20725068.66120913,0.0,0.0,8768669.098413026,20128774.704877639,0.0,0.0 
 01/14  01:00:00,205175176.14671508,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,45308.220669952185,6028263.228843909,27188493.306087536,15576045.306087533,11540448.000000002,72000.0,12484553.061821873,37313314.63730864,2927044.7280661009,16731902.488987195,23617990.13726556,0.0 
 01/14  02:00:00,204012259.35656215,0.0,0.0,57110192.35920001,30870000.0,105272514.0,4679118.67040096,46002.704452374666,6034431.622508755,30324195.283896619,18711747.283896619,11540448.000000002,72000.0,13728131.684957043,26945223.00763508,2927044.758058693,16765062.759450024,22643458.34890566,0.0 
 01/14  03:00:00,205184804.2862658,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,66474.79480684316,6016724.794257719,52537127.00892769,30616980.472395995,11540448.000000002,10379698.536531695,19314524.289799818,30425441.513576148,2927044.7350158665,16660090.244750124,32071533.486125038,0.0 
 01/14  04:00:00,203991611.15700633,0.0,0.0,57110192.35920001,30870000.0,105272514.0,4679118.67040096,54027.011066505605,6005759.116338836,39204600.98708704,27592152.987087035,11540448.000000002,72000.0,14416211.05580167,20730713.0742849,2927044.7581606109,16595084.151366633,27464659.912500588,0.0 
 01/14  05:00:00,205961925.80229996,0.0,0.0,57110192.35920001,30870000.0,105272514.0,5848898.338001201,96889.18959222942,6763431.915506529,75887207.39415556,53967345.67704071,11540448.000000002,10379413.717114857,22619768.757949369,15564670.846264273,2927044.7491402688,19807444.949041778,48695635.42720485,0.0 
 01/14  06:00:00,212421131.88198514,0.0,0.0,57110192.35920001,30870000.0,105272514.0,12349025.929046987,119731.36464901407,6699668.229089124,192525715.90202625,180913267.90202625,11540448.000000002,72000.0,29976370.595821218,11425058.873849746,2927044.7597448767,19511331.15662881,145479571.99620665,0.0 
 01/14  07:00:00,215107622.30031569,0.0,0.0,57110192.35920001,30870000.0,105272514.0,14924559.803025337,190033.45982347907,6740322.678266851,261659782.2516042,239739788.38053263,11540448.000000002,10379545.871071559,49663473.60599096,10477700.205580097,2927044.7460048228,20044446.06622411,187392376.7906037,0.0 
 01/14  08:00:00,183935508.59032158,0.0,0.0,57110192.35920001,10290000.0,105272514.0,4679118.67040096,79382.84610242472,6504300.714618161,63776955.192163858,52164507.192163858,11540448.000000002,72000.0,15844904.333952524,5796106.3566695009,2927044.742243456,19178130.50366804,42950324.87249723,0.0 
 01/14  09:00:00,174832374.63718719,0.0,0.0,57110192.35920001,0.0,105272514.0,5848898.338001201,99055.47618218335,6501714.463803772,88980593.5153948,67060694.951914709,11540448.000000002,10379450.56348011,20191429.980210026,7927973.954011317,2927044.758287047,19162974.73062883,53326066.613317649,0.0 
 01/14  10:00:00,173676880.85655878,0.0,0.0,57110192.35920001,0.0,105272514.0,4679118.67040096,68748.55266518236,6546307.274292603,59322237.72573445,47709789.72573445,11540448.000000002,72000.0,13037932.288901432,7662407.306820378,4878407.754000271,19430437.489393914,38181480.40090512,0.0 
 01/14  11:00:00,174812118.06010137,0.0,0.0,57110192.35920001,0.0,105272514.0,5848898.338001201,75414.53724374804,6505098.825656387,75341057.69704911,53414629.26219466,11540448.000000002,10385980.434854454,14095546.676131975,12697946.133831876,4878407.87378893,19182807.540283409,42409543.64903098,0.0 
 01/14  12:00:00,176209487.29357238,0.0,0.0,57110192.35920001,0.0,105272514.0,4679118.67040096,47820.60606263444,9099841.657908747,56395981.429812189,34469333.10002803,11540448.000000002,10386200.329784165,8768887.608488214,14080659.00016652,4878407.900355427,21778422.15276929,27533897.435174038,0.0 
