Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 04/20  06:00:00,99116827.04994504,3785155.408536814,0.0,13347692.9325,0.0,8616830.08824,73367148.62066823,636297200.1563752,636297200.1563752,354535255.36216977,0.0,502309377.0425045,0.0 
 04/20  07:00:00,146544687.74441425,2553107.2172660266,0.0,53390771.73,0.0,17233660.17648,73367148.62066823,431968098.0652882,431968098.0652882,204167252.45289526,0.0,340968359.93769839,0.0 
 04/20  08:00:00,238822159.34654374,1819176.0920355467,0.0,133476929.325,0.0,30158905.30883999,73367148.62066823,332322736.33535459,332322736.33535459,137209491.3533827,0.0,262115062.51418615,0.0 
 04/20  09:00:00,353465048.78821799,1063691.9854698054,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,223290513.9309506,223290513.9309506,61040056.099438767,0.0,175916451.8299866,0.0 
 04/20  10:00:00,352759948.19026616,358591.3875179561,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,179936642.01109935,179936642.01109935,35767062.38559935,1940491.256508965,141167707.098113,0.0 
 04/20  11:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,124487412.34788397,124487412.34788397,23027817.415316829,25947743.971980398,97297754.00336705,0.0 
 04/20  12:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,109265037.70144718,109265037.70144718,20862586.85763283,37136264.77740729,85344029.36436618,0.0 
 04/20  13:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,103807085.64457248,103807085.64457248,19878960.50151103,42856684.56742826,81105039.32454948,0.0 
 04/20  14:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,95083430.16572397,95083430.16572397,18735607.028184937,48369006.00753956,74317589.41375059,0.0 
 04/20  15:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,88011967.12026894,88011967.12026894,18404077.20645417,58246967.91149165,68804238.31060016,0.0 
 04/20  16:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,96655775.30044979,96655775.30044979,18595278.316872658,54956832.99575597,75567739.87208252,0.0 
 04/20  17:00:00,352603236.6589334,201879.856185259,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,131969993.16745395,131969993.16745395,22277901.96432859,39231927.24582171,103476465.0329425,0.0 
 04/20  18:00:00,268706398.30778756,699614.1441593519,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,184774140.44486455,184774140.44486455,29663151.40520386,14709544.466358964,145380993.83396317,0.0 
 04/20  19:00:00,287056924.7590411,1059140.595412908,0.0,160172315.18999998,17991000.0,34467320.35296,73367148.62066823,220265632.64625363,220265632.64625363,40285308.03292295,0.0,173571679.60115785,0.0 
 04/20  20:00:00,274215041.6527449,1230058.3982366853,0.0,133476929.325,35982000.0,30158905.30883999,73367148.62066823,238300025.64161376,238300025.64161376,54565667.11811549,0.0,187892758.4545673,0.0 
 04/20  21:00:00,106606431.90647999,0.0,0.0,53390771.73,35982000.0,17233660.17648,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/20  22:00:00,57946523.02073999,0.0,0.0,13347692.9325,35982000.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/20  23:00:00,57946523.02073999,0.0,0.0,13347692.9325,35982000.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/20  24:00:00,57946523.02073999,0.0,0.0,13347692.9325,35982000.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/21  01:00:00,56282328.929304499,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,490013.4306244968,15541755.693161313,15541755.693161313,12648422.898886932,0.0,12255183.55010532,0.0 
 04/21  02:00:00,56588297.29353705,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,795981.7948570586,25263280.57390692,25263280.57390692,20696781.97902733,0.0,19993804.498452445,0.0 
 04/21  03:00:00,57106923.925744879,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1314608.4270648813,41678158.09935729,41678158.09935729,33969080.01871766,0.0,32871047.94133728,0.0 
 04/21  04:00:00,57283679.05224259,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1491363.5535626026,47341624.950098339,47341624.950098339,38764971.00802084,0.0,37437422.725175809,0.0 
 04/21  05:00:00,57621935.056790407,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1829619.5581104039,58121577.68537013,58121577.68537013,47300868.19527568,0.0,45863645.67925137,0.0 
 04/21  06:00:00,98099917.67956771,4922453.560219471,0.0,13347692.9325,0.0,6462622.566179999,73367148.62066823,727192862.9715115,727192862.9715115,411838648.6163409,0.0,574696493.6226096,0.0 
 04/21  07:00:00,116352825.79106608,3365046.1730378626,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,521389711.5869429,521389711.5869429,258946778.11025027,0.0,411898820.85972228,0.0 
 04/21  08:00:00,177748305.51438049,2752924.0781123039,0.0,80086157.59499999,0.0,21542075.220599999,73367148.62066823,450791256.9012684,450791256.9012684,205743755.95144735,0.0,355937273.2265856,0.0 
 04/21  09:00:00,270220531.776358,2213747.612729831,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,371227536.8998119,371227536.8998119,138890589.97082237,0.0,293040547.65697386,0.0 
 04/21  10:00:00,354081287.61404946,1679930.8113012473,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,298484025.4885261,298484025.4885261,87179392.06869078,0.0,235493417.89560888,0.0 
 04/21  11:00:00,353680300.0139567,1278943.2112085557,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,247570649.05425234,247570649.05425234,53042706.466541219,0.0,195190198.73900364,0.0 
 04/21  12:00:00,353473935.9267599,1072579.1240117353,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,223221016.20839737,223221016.20839737,42576610.25101149,4105774.1017224618,175904322.6682432,0.0 
 04/21  13:00:00,353426945.2722092,1025588.4694610722,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,215374306.9125727,215374306.9125727,40561928.74195343,9627222.453103122,169719912.11104764,0.0 
 04/21  14:00:00,353443437.44307616,1042080.6403279626,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,213804010.85483928,213804010.85483928,39811437.37560679,13502652.502773188,168518462.68155835,0.0 
 04/21  15:00:00,353519637.87044247,1118281.0676942995,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,216782455.0820007,216782455.0820007,40210881.03928444,16269012.575045437,170948463.6307139,0.0 
 04/21  16:00:00,353576372.651365,1175015.8486168213,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,208448034.43124903,208448034.43124903,39422352.97693199,20607790.25139509,164502157.48195947,0.0 
 04/21  17:00:00,353574892.1449855,1173535.3422373089,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,223194962.97954843,223194962.97954843,40558602.290165867,11559594.854864466,176029731.98310388,0.0 
 04/21  18:00:00,238601241.86120893,1598258.6067007487,0.0,133476929.325,0.0,30158905.30883999,73367148.62066823,306119608.2402566,306119608.2402566,91025485.16550674,0.0,241410519.0612283,0.0 
 04/21  19:00:00,194892845.07048045,1906463.6342122362,0.0,80086157.59499999,17991000.0,21542075.220599999,73367148.62066823,350051157.71856096,350051157.71856096,121891849.02910492,0.0,276159144.3107853,0.0 
 04/21  20:00:00,213063349.94898559,2085968.5127173884,0.0,80086157.59499999,35982000.0,21542075.220599999,73367148.62066823,367259515.80509266,367259515.80509266,132789353.95632388,0.0,289832944.7312006,0.0 
 04/21  21:00:00,151302203.54681147,2332423.9287832609,0.0,26695385.865,35982000.0,12925245.132359999,73367148.62066823,404702384.2355851,404702384.2355851,162386021.71713639,0.0,319431128.42070618,0.0 
 04/21  22:00:00,55792315.498679999,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/21  23:00:00,56130609.54141795,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,338294.0427379573,10796729.438797042,10796729.438797042,8792491.131539258,0.0,8554653.192782361,0.0 
 04/21  24:00:00,56968136.513104047,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1175821.0144240484,37314462.73678489,37314462.73678489,30510173.37589275,0.0,29462190.115853058,0.0 
 04/22  01:00:00,57179732.5926928,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1387417.0940128093,44067245.04949032,44067245.04949032,35963195.09651464,0.0,34818944.81104563,0.0 
 04/22  02:00:00,57459183.2447771,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1666867.7460971026,52930863.05411518,52930863.05411518,43227847.75021184,0.0,41793548.68938813,0.0 
 04/22  03:00:00,57638750.82482307,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1846435.3261430625,58677486.40168941,58677486.40168941,47809719.060349989,0.0,46360159.47384055,0.0 
 04/22  04:00:00,58654870.875197309,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,2862555.3765173109,82898769.14123352,82898769.14123352,67679862.42788682,0.0,65343027.72195694,0.0 
 04/22  05:00:00,60548795.435040738,11909.3332001606,0.0,13347692.9325,35982000.0,6462622.566179999,4744570.603160584,119863317.82079162,119863317.82079162,98181394.57329,0.0,94274140.58781123,0.0 
 04/22  06:00:00,25168853.464389545,83955.84563940822,0.0,13347692.9325,0.0,6462622.566179999,5274582.120070134,133102989.69511508,133102989.69511508,109102103.56265107,0.0,104719686.53215689,0.0 
 04/22  07:00:00,25226623.546927673,15178.73276737431,0.0,13347692.9325,0.0,6462622.566179999,5401129.315480295,133119140.28890825,133119140.28890825,109099274.31377682,0.0,104626867.69970395,0.0 
 04/22  08:00:00,118112596.28432952,5124816.666301309,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,775383133.6397789,775383133.6397789,439263493.73884227,0.0,612585841.2337753,0.0 
 04/22  09:00:00,116570523.01175136,3582743.3937231486,0.0,26695385.865,0.0,12925245.132359999,73367148.62066823,571083850.3944053,571083850.3944053,291088584.5396905,0.0,451028056.09747877,0.0 
 04/22  10:00:00,208919674.15407164,2920491.8086834016,0.0,106781543.46,0.0,25850490.264719998,73367148.62066822,479335160.4466189,479335160.4466189,221922376.2038009,0.0,378455347.90741106,0.0 
 04/22  11:00:00,208515830.3102062,2516647.964817968,0.0,106781543.46,0.0,25850490.264719998,73367148.62066823,439002293.81963029,439002293.81963029,193895556.27092967,0.0,346429394.21323868,0.0 
 04/22  12:00:00,270136890.51573607,2130106.352107863,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,371785264.1602441,371785264.1602441,143582882.6659645,0.0,293374729.43697807,0.0 
 04/22  13:00:00,269695524.98033377,1688740.8167055678,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,321020324.7721061,321020324.7721061,116648388.70842758,0.0,253125474.03795157,0.0 
 04/22  14:00:00,269047392.6179209,1040608.454292679,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,290856233.5069116,290856233.5069116,98002228.66093563,0.0,228761791.99998457,0.0 
 04/22  15:00:00,269072112.518253,1065328.354624888,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,289583215.1510906,289583215.1510906,94277450.01107128,0.0,227824266.34686203,0.0 
 04/22  16:00:00,269209674.775076,1202890.6114477753,0.0,160172315.18999998,0.0,34467320.35296,73367148.62066823,293254122.2110623,293254122.2110623,92491802.43681364,0.0,230858460.03674127,0.0 
 04/22  17:00:00,206372026.442111,372844.09672273448,0.0,106781543.46,0.0,25850490.264719998,73367148.62066823,524122276.2338844,524122276.2338844,264518430.7804407,0.0,410995742.59339979,0.0 
 04/22  18:00:00,144718673.33160839,727092.8044601816,0.0,53390771.73,0.0,17233660.17648,73367148.62066823,574572238.9701738,574572238.9701738,297206563.9733863,0.0,450925886.5500366,0.0 
 04/22  19:00:00,37801315.498679999,0.0,0.0,13347692.9325,17991000.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/22  20:00:00,55885676.114989947,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,93360.6163099487,3008370.724553349,3008370.724553349,2479054.181845787,0.0,2406696.5796426797,0.0 
 04/22  21:00:00,56866893.88912372,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1074578.3904437246,34011257.62959285,34011257.62959285,27744173.86455321,0.0,26821493.277179399,0.0 
 04/22  22:00:00,56985028.768367189,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1192713.2696871919,37858853.920283239,37858853.920283239,30966201.16053509,0.0,29927374.546848239,0.0 
 04/22  23:00:00,57569201.72102624,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1776886.2223462507,56292455.84330353,56292455.84330353,45897205.44466815,0.0,44412129.120329577,0.0 
 04/22  24:00:00,57579643.53118074,0.0,0.0,13347692.9325,35982000.0,6462622.566179999,1787328.0325007379,56799550.04451816,56799550.04451816,46379352.78400375,0.0,44901570.74210702,0.0 
 04/23  01:00:00,60065311.39436868,0.0,0.0,13347692.9325,35982000.0,8616830.08824,2118788.373628686,67175214.09523255,67175214.09523255,54700493.83889094,0.0,53000210.195232499,0.0 
 04/23  02:00:00,62909184.66148441,0.0,0.0,13347692.9325,35982000.0,8616830.08824,4962661.64074442,123234209.81446171,123234209.81446171,101146369.02186562,0.0,96901042.03680857,0.0 
 04/23  03:00:00,64592638.768482018,27141.74242398867,0.0,13347692.9325,35982000.0,8616830.08824,6618974.00531803,162870260.85737134,162870260.85737134,133546784.61100342,0.0,127940342.98331544,0.0 
 04/23  04:00:00,64454164.26524655,133311.61395993166,0.0,13347692.9325,35982000.0,8616830.08824,6374329.630546614,154536050.34875796,154536050.34875796,126968869.01020783,0.0,121595653.13446506,0.0 
