Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 11/13  16:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,353483110.03622469,1081753.2334765013,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,244011816.05031536,244011816.05031536,46865557.92867578,7935719.50892494,192192732.7771209,0.0,56078911.97029468,0.0,165446021.57918448,0.0,18358107.907592369,0.0,24557707.770809074,0.0 
 11/13  17:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,377706623.0554313,1317266.2526831593,0.0,240258472.78500004,23988000.0,38775735.39708,73367148.62066823,262613132.2404048,262613132.2404048,49983720.188214678,3741494.401148893,207029587.63078387,0.0,57037467.42067456,0.0,175396199.71580199,0.0,20184990.8026011,0.0,26423433.123260857,0.0 
 11/13  18:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,389860314.9062567,1476958.103508476,0.0,240258472.78500004,35982000.0,38775735.39708,73367148.62066823,282749117.7867747,282749117.7867747,58810519.239323,0.0,222973079.16584564,0.0,57612604.369799558,0.0,187495624.12819238,0.0,21721839.910000426,0.0,27995822.33857899,0.0 
 11/13  19:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,305626584.86340519,1637800.6997770179,0.0,160172315.18999998,35982000.0,34467320.35296,73367148.62066823,308742162.3081969,308742162.3081969,79320861.42602042,0.0,243503800.18135409,0.0,59296283.57531854,0.0,202369675.64068983,0.0,23980318.546201037,0.0,29549491.403603347,0.0 
 11/13  20:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,305844391.93955537,1855607.7759272219,0.0,160172315.18999998,35982000.0,34467320.35296,73367148.62066823,342810126.6615712,342810126.6615712,102286513.47527531,0.0,270409964.5943341,0.0,61453539.086978618,0.0,222286971.81794254,0.0,26337031.09450303,0.0,31806584.50321857,0.0 
 11/13  21:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,274970189.3608482,1985206.106340059,0.0,133476929.325,35982000.0,30158905.30883999,73367148.62066823,363606449.49032709,363606449.49032709,115957565.4171164,0.0,286843891.4579013,0.0,63509999.56550797,0.0,233206970.80357863,0.0,28284145.732833867,0.0,33187338.93387639,0.0 
 11/13  22:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,106606431.90647999,0.0,0.0,53390771.73,35982000.0,17233660.17648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/13  23:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,58630135.34944473,0.0,0.0,13347692.9325,35982000.0,8616830.08824,683612.3287047376,21614572.541346048,21614572.541346048,17605627.423411624,0.0,17026590.6140202,0.0,10760803.7033991,0.0,0.0,0.0,2893241.7030691185,0.0,4056157.5362564364,0.0 
 11/13  24:00:00,15.599999999999996,29.999999999999998,15.599999999999996,29.999999999999998,15.599999999999996,90.0,15.599999999999996,29.999999999999998,15.599999999999996,29.999999999999998,59885480.106802988,0.0,0.0,13347692.9325,35982000.0,8616830.08824,1938957.086062997,61355895.51191008,61355895.51191008,49969215.577402349,0.0,48369906.19310878,0.0,29018777.379155868,0.0,0.0,0.0,8094127.895469615,0.0,13195958.004545717,0.0 
 11/14  01:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,59990062.622684869,0.0,0.0,13347692.9325,35982000.0,8616830.08824,2043539.6019448715,64845281.28680983,64845281.28680983,52916610.90221811,0.0,51222606.3145981,0.0,26534617.91870911,0.0,0.0,0.0,14327114.638887324,0.0,12404413.358946,0.0 
