Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 09/30  24:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,4070242.9762945275,0.0,4070242.9762945275,6058736.62367803,0.0,605213.6462397168,0.0,0.0 
 10/01  01:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  02:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,4070252.3758776725,0.0,4070252.3758776725,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  03:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/01  04:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  05:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,4070632.286841126,0.0,4070632.286841126,6058736.62367803,0.0,849885.0119933456,0.0,0.0 
 10/01  06:00:00,126501211.75128293,0.0,0.0,15146841.55919508,53427000.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  07:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,4070396.479775304,0.0,4070396.479775304,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/01  08:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/01  09:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/01  10:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,4070484.2629922896,0.0,4070484.2629922896,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  11:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,728472.8674228676,0.0,0.0 
 10/01  12:00:00,77979292.22545313,0.0,4168580.267758567,15146841.55919508,0.0,57896985.85326433,736500.2064116375,30384.338823529408,4070828.2299378716,0.0,4070828.2299378716,6569111.957928015,15510396.346086663,728472.8674228675,0.0,13788156.702160538 
 10/01  13:00:00,82924919.84625857,0.0,8377707.682152374,15146841.55919508,0.0,57896985.85326433,1473000.4128232748,30384.338823529408,72000.0,0.0,72000.0,5161932.779441627,29697468.234314514,1092709.3011343014,0.0,27782919.136370385 
 10/01  14:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,4070494.578739494,0.0,4070494.578739494,6058736.62367803,0.0,728472.8674228676,0.0,0.0 
 10/01  15:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  16:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  17:00:00,73074211.75128292,0.0,0.0,15146841.55919508,0.0,57896985.85326433,0.0,30384.338823529408,4070214.072350784,0.0,4070214.072350784,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  18:00:00,105130411.75128293,0.0,0.0,15146841.55919508,32056200.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/01  19:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,4070579.6188032955,0.0,4070579.6188032955,6058736.62367803,0.0,485648.57828191175,0.0,0.0 
 10/01  20:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819118,0.0,0.0 
 10/01  21:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,4070884.4907992349,0.0,4070884.4907992349,6058736.62367803,0.0,849885.0119933456,0.0,0.0 
 10/01  22:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/01  23:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,485648.5782819118,0.0,0.0 
 10/01  24:00:00,137186611.75128294,0.0,0.0,15146841.55919508,64112400.0,57896985.85326433,0.0,30384.338823529408,4070090.4086510248,0.0,4070090.4086510248,6058736.62367803,0.0,485648.5782819117,0.0,0.0 
 10/02  01:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,608938.5034880661,0.0,0.0 
 10/02  02:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,4070527.65376328,0.0,4070527.65376328,6058736.62367803,0.0,608938.5034880661,0.0,0.0 
 10/02  03:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,608938.5034880661,0.0,0.0 
 10/02  04:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,608938.5034880661,0.0,0.0 
 10/02  05:00:00,171632448.59489949,0.0,0.0,30293683.11839016,64112400.0,77195981.13768575,0.0,30384.338823529408,4070826.8714519275,0.0,4070826.8714519275,11107683.81007639,0.0,974301.6055809057,0.0,0.0 
 10/02  06:00:00,439429826.9306469,265656690.48870579,0.0,30293683.11839016,53427000.0,77195981.13768575,12826087.84704159,30384.33882352941,72000.0,0.0,72000.0,131082871.0604108,58393176.22061414,852513.9048832927,265656690.48870579,0.0 
 10/02  07:00:00,393232403.56123736,171840439.3440543,0.0,90881049.35517045,0.0,117654442.67614728,12826087.84704159,30384.338823529408,4072490.1019116246,0.0,4072490.1019116246,75688314.78186636,95049795.14358564,2313966.313254651,171840439.3440543,0.0 
 10/02  08:00:00,602525282.6932607,51505391.80195874,11951495.936999735,272643148.0655114,0.0,253451924.59275989,12942937.95720742,30384.33882352941,8078352.523953721,0.0,8078352.523953721,92736137.21996016,206548547.89493466,4262569.5244164629,51505391.80195874,42010087.28931455 
 10/02  09:00:00,583206418.0655025,24784161.953478066,49525568.41074532,272643148.0655114,0.0,223397067.4499028,12826087.84704159,30384.338823529408,8078562.699252065,0.0,8078562.699252065,85229452.93599174,239825848.34930448,4627932.626509303,24784161.953478066,176478954.17468528 
 10/02  10:00:00,593297709.5423173,15480597.503369529,75833312.50952029,272643148.0655114,0.0,216461331.18616648,12848935.938926198,30384.338823529408,4075365.3397497886,0.0,4075365.3397497886,79204303.14015419,255364088.20684216,4749720.327206917,15480597.503369529,269513683.43253877 
 10/02  11:00:00,613603490.6068144,9031128.372047622,94764271.03796938,272643148.0655114,0.0,223397067.4499028,13737491.342559798,30384.338823529408,9582991.165961523,0.0,9582991.165961523,73604500.60130807,286992661.6589483,5724021.932787821,9031128.372047622,334453169.2455462 
 10/02  12:00:00,625881626.3330414,7688077.987308282,109668223.45705545,272643148.0655114,0.0,221437412.82482205,14414379.659520509,30384.338823529408,10587423.14939208,0.0,10587423.14939208,64447272.20858382,301016740.728861,6941898.939763953,7688077.987308282,382835615.1419929 
