Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/01  14:00:00,11570761.519111718,21.0,24.0,19.0,26.0,0.0,0.0,92178622.9052481,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.006237993344677842,5874410.62749545,240020115.04843725,112043357.01372554,113441580.0,14535178.03471168,0.0,48478138.77422441,10300981.632474589,15207825.723529457,88207656.19019717,0.0,60556205.329483758,0.0,35516419.966304738,0.0 
 01/01  15:00:00,8256912.152767757,21.0,24.0,19.0,26.0,0.0,0.0,74187731.21415018,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004679949138033645,5883518.937955564,205055185.57060195,119034520.80951567,75627720.0,10392944.761086258,0.0,39481023.16213829,7725787.502528807,15266881.46397799,93687932.91386169,0.0,64949723.53521874,0.0,36603178.48423431,0.0 
 01/01  16:00:00,8257817.2166107329,21.0,24.0,19.0,26.0,0.0,0.0,74140633.31141074,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004681127934953516,5836421.035214956,204100583.7860704,123480767.71660204,70225740.0,10394076.069468348,0.0,35928993.77134724,7725774.780060574,14985727.856111862,97196289.92052263,0.0,66846703.77653743,0.0,38214555.24957611,0.0 
 01/01  17:00:00,9908419.327515878,21.0,24.0,19.0,26.0,0.0,0.0,80686199.8048635,0.0,0.0,13362043.1603184,6828300.0,47077200.0,7864969.111196254,0.0046802172337329869,5553687.528668623,218087091.2999558,124600101.6593616,81029700.0,12457289.640594198,0.0,35075599.02006971,7725781.318570731,13286892.420251862,98072956.34019348,0.0,67579932.42347285,0.0,38357993.0223118,0.0 
 01/01  18:00:00,9916459.925533047,21.0,24.0,19.0,26.0,0.0,0.0,100972646.3197426,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.006239531383302905,5564034.041988442,224582098.27120287,120281098.07339719,91833660.00000002,12467340.197805644,0.0,41017849.4060056,10301026.235662163,13346449.657808846,94642987.37067858,0.0,66595810.352464858,0.0,35912146.123805198,0.0 
 01/01  19:00:00,13235569.15051469,21.0,24.0,19.0,26.0,0.0,0.0,100980629.75167158,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.007802376983180464,5572017.472354549,226852951.21879445,118403143.04855997,91833660.00000002,16616148.170234474,0.0,46284377.739590678,12876314.243649152,13393086.925842466,93207387.18822859,0.0,63992020.693091589,0.0,37080335.60072783,0.0 
 01/01  20:00:00,14884592.883379996,21.0,24.0,19.0,26.0,0.0,0.0,101502016.35611812,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.0077977371359091549,6093404.076805724,224502078.17521803,113991029.36904943,91833660.00000002,18677388.806168587,0.0,46570204.776230659,12876314.901045362,15630578.614987918,89727474.23949513,0.0,62050678.892967659,0.0,35541764.45211847,0.0 
 01/01  21:00:00,9916036.671121765,21.0,24.0,19.0,26.0,0.0,0.0,83459281.93822381,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.00624112569949598,6050669.660468027,213533119.57326807,120036608.43345866,81029700.0,12466811.1398094,0.0,41222769.545257348,10301040.745674957,15432677.263121583,94498566.89927709,0.0,64600131.97103971,0.0,37763404.03382895,0.0 
 01/01  22:00:00,14886581.4516739,21.0,24.0,19.0,26.0,0.0,0.0,83225794.20136599,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.007799904490415321,5817181.922051437,215226160.14550973,120918565.67604046,75627720.0,18679874.469469258,0.0,39504239.169292669,12876300.522619734,14425575.115692433,95188986.79522474,0.0,65190821.99763324,0.0,37863133.90318256,0.0 
 01/01  23:00:00,9915466.217825355,21.0,24.0,19.0,26.0,0.0,0.0,82851442.41870561,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.006239688900637816,5442830.140951271,205178327.9138042,127888469.82711347,64823759.99999999,12466098.086690739,0.0,35013494.90473816,10301039.243849645,12820640.042139765,100672744.31439439,0.0,68785288.26349563,0.0,39752425.15648934,0.0 
 01/01  24:00:00,6600107.393457612,21.0,24.0,19.0,26.0,0.0,0.0,87166150.60138506,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.0031182148587849116,9757538.326752186,158128368.04584474,139002430.01958234,10803960.0,8321978.026262406,0.0,27675147.768093338,5150521.00531958,16455878.968368095,109462248.23568827,0.0,72750193.33806223,0.0,44577024.00321714,0.0 
 01/02  01:00:00,4949200.114131836,21.0,24.0,19.0,26.0,0.0,0.0,49431226.54482007,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.003123190181275591,5703635.850341419,191218464.53799267,174156121.53615899,10803960.0,6258383.001833692,1686677.0951238699,10730699.428900138,5159918.003723182,15029435.93128536,137203111.75363935,0.0,87651691.45516297,0.0,57416389.404067907,0.0 
 01/02  02:00:00,1647655.105342319,15.600000000000002,30.0,15.600000000000002,30.0,0.0,0.0,34132420.22742495,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4801013.034038553,12935489.883923926,0.0,10803960.0,2131529.8839239266,0.0,0.0,0.0,12076802.527929828,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,0.0,15.6,30.0,15.6,30.0,0.0,0.0,34219236.25196869,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4887829.058582292,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,12584671.602969785,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,1647523.1107984326,15.6,30.0,15.6,30.0,0.0,0.0,34264816.775713238,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4933409.582326831,12935324.8938682,0.0,10803960.0,2131364.8938681997,0.0,0.0,0.0,12850547.455873402,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,0.0,15.6,30.0,15.6,30.0,0.0,0.0,34810068.25839017,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5478661.065003781,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,15227126.778856054,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,1647540.221330704,21.0,24.0,19.0,26.0,0.0,0.0,49270227.59659835,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.0,5542636.905242894,185932927.60628958,167595601.324661,16205939.999999999,2131386.2816285558,4982077.995097863,6048969.638747198,0.0,14448811.092459917,132055313.66922337,0.0,83727586.14864798,0.0,56192696.62616709,0.0 
 01/02  07:00:00,4947873.847135495,21.0,24.0,19.0,26.0,0.0,0.0,101383924.17832184,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.0023438496942239609,5975311.904463328,193387511.3811587,138512966.1816795,48617819.99999999,6256725.199479201,0.0,21976751.083201827,3869923.6809752446,15377620.251575072,109090798.02455116,0.0,71965479.82984132,0.0,44990287.300301197,0.0 
 01/02  08:00:00,14899187.334703122,21.0,24.0,19.0,26.0,0.0,0.0,94395979.76197589,0.0,0.0,13362043.1603184,2276100.0,65077200.0,7864969.111196254,0.009363022954307798,5815667.481098212,215425327.53232844,121101976.00743672,75627720.0,18695631.524891687,0.0,34481116.184648539,15479753.738428355,14857383.380283555,95356614.89173377,0.0,64375728.57334579,0.0,38845855.42397945,0.0 
 01/02  09:00:00,14893790.173484218,21.0,24.0,19.0,26.0,0.0,0.0,74119129.90830896,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.008583465748968665,5814917.628210835,195050236.2423805,122341551.04126899,54019800.0,18688885.20111152,0.0,31022963.743606964,14189784.95777232,14853064.674588634,96336025.04148288,0.0,64853473.788696918,0.0,39347520.358377117,0.0 
 01/02  10:00:00,13228228.061140202,21.0,24.0,19.0,26.0,0.0,0.0,74170183.06512109,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.007020512678953981,5865970.786585929,190071771.64381654,119444999.66154658,54019800.0,16606971.982269958,0.0,29339227.994975669,11609804.155648107,15082539.640500196,94042851.25723277,0.0,63914848.32711207,0.0,37992972.035712119,0.0 
 01/02  11:00:00,11568050.818705425,21.0,24.0,19.0,26.0,0.0,0.0,92182586.08771333,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.006244682218266091,5878373.809953987,235573282.17835704,102197932.45499462,118843560.0,14531789.723362402,0.0,36965612.80205655,10319834.582174056,14966549.381160682,80367395.57134098,0.0,59149123.23247071,0.0,29083241.444461489,0.0 
