Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/13  01:00:00,241280986.6162319,0.0,0.0,85725350.6868,37868400.0,105272514.0,6316704.091989117,72507.0942670329,6025510.7431756979,75453122.22642032,53261746.97074922,11540448.000000002,10650927.2556711,21564377.333805719,32816808.8635319,4898673.321742195,16527454.216191218,38429317.645426589,0.0 
 03/13  02:00:00,243739217.8937053,0.0,0.0,85725350.6868,37868400.0,105272514.0,8770906.164390305,61144.683821439256,6040902.358693554,110711228.72649232,88519871.45785019,11540448.000000002,10650909.268642128,19362632.21784841,22678052.075605155,4898673.370806036,16498986.20903705,66918364.888757918,0.0 
 03/13  03:00:00,245779564.0868346,0.0,0.0,85725350.6868,37868400.0,105272514.0,10777755.56094793,90621.56018868096,6044922.278897983,130091486.78093595,118479038.78093595,11540448.000000002,72000.0,27548549.90203749,24806351.149996986,4898673.2718550669,16468986.870210575,87348112.75018482,0.0 
 03/13  04:00:00,246015734.48781274,0.0,0.0,85725350.6868,37868400.0,105272514.0,10257923.320709909,79903.94412630232,6811642.536176506,142141416.65841256,119950074.2062984,11540448.000000002,10650894.452114167,25646106.19857648,16274467.523933815,4898673.212576884,19734483.329546963,89786647.56994267,0.0 
 03/13  05:00:00,248753092.97142504,0.0,0.0,85725350.6868,37868400.0,105272514.0,13008281.295427334,124590.19979368597,6753956.789403991,191854508.8256446,169663472.19631649,11540448.000000002,10650588.629328108,38332358.219381738,15132782.459506613,4898673.4037921079,19474340.653072586,125005152.8797946,0.0 
 03/13  06:00:00,272584012.7968539,0.0,15663.377699715307,85725350.6868,37868400.0,107346114.0,26694679.506363565,8485382.65517029,6448422.570820287,2145445738.7738529,2133833290.7738529,11540448.000000002,72000.0,759457674.7963827,32486368.967122687,4898673.398807598,18203625.070729749,1451865498.8280788,120238.20065060814 
 03/13  07:00:00,585008446.5360437,0.0,5833.278921887455,435154064.4,6311400.0,107346114.0,26694679.506363565,2477369.1538481076,7018986.196909925,1414639291.678532,1381836329.6810554,11540448.000000002,21262513.99747642,317405164.5724395,38235297.69225521,9797343.49632706,18383585.50579192,1047576426.2311697,48400.988264794534 
 03/13  08:00:00,740728862.1859825,0.0,15447.180568683674,435154064.4,0.0,270330255.0,26694679.506363565,1364000.2784120362,7170415.820638048,1074941255.3646429,945614291.1879335,86553360.0,42773604.17670937,42135917.256471928,126620818.33690095,33310910.35333479,19264494.50878698,691142239.2997716,123514.91290756833 
 03/13  09:00:00,740751977.9231331,0.0,9396.049845500398,435154064.4,0.0,270330255.0,26694679.506363565,1280744.11509487,7282838.851829119,1043181478.1289227,881195973.0234236,86553360.0,75432145.10549906,25901437.21285285,157504150.32457144,58784078.99448188,19930099.603113846,650117796.7584874,73939.13800450997 
 03/13  10:00:00,755154243.3293994,0.0,5689.682689061452,435154064.4,0.0,284728041.0,26694679.506363565,1253534.464301606,7318234.27604507,1047335178.585778,856414801.0180094,115404480.0,75515897.56776858,17314554.570762028,172295087.623528,61723267.93956222,20129455.288174578,633040703.1880454,44374.7514228901 
 03/13  11:00:00,757808280.2535945,0.0,0.0,435154064.4,0.0,284728041.0,26694679.506363565,1140471.8572473867,10091023.489983378,954069835.803985,741307536.5828916,115404480.0,97357819.22109342,6996619.4524381109,226306331.0783556,70540828.07244967,23516527.383586699,549343194.37435,0.0 
 03/13  12:00:00,755028352.0110941,0.0,0.0,435154064.4,0.0,284728041.0,26694679.506363565,1059184.1537054526,7392382.951025061,917208522.8739302,704224297.3952057,115404480.0,97579745.47872439,6001852.441217251,242632688.40944217,77398881.74089001,20312028.11489187,519281849.305514,0.0 
 03/13  13:00:00,740660478.4447177,0.0,0.0,435154064.4,0.0,270330255.0,26694679.506363565,999415.2146035867,7482064.323750441,893107170.6686436,726854809.8400261,57702240.0,108550120.82861746,5170181.577476397,211787066.58671878,81317601.42730952,20787050.488098794,539598015.3130264,0.0 
 03/13  14:00:00,740630142.7508422,0.0,0.0,435154064.4,0.0,270330255.0,26694679.506363565,956958.6778836785,7494185.166594859,841804913.0074878,708645205.2167614,57702240.0,75457467.79072637,4516601.127181661,219682462.4507721,59763813.528036918,20813861.390408808,525010887.95842066,0.0 
 03/13  15:00:00,733277628.6027637,0.0,0.0,435154064.4,0.0,263131362.0,26694679.506363565,862958.9051828927,7434563.7912170239,757420405.3064866,670319046.4406518,11540448.000000002,75560910.86583489,8376823.374110194,228221348.72225229,63682747.030750799,20324497.03963384,500003586.88584199,0.0 
 03/13  16:00:00,732854013.8018265,0.0,0.0,435154064.4,0.0,263131362.0,26694679.506363565,839464.1624247312,7034443.7330380589,683511812.6106515,650708706.3182105,11540448.000000002,21262658.292441068,8136624.914286334,212520561.59414695,9797343.571540799,17833645.716792298,485411656.3358072,0.0 
 03/13  17:00:00,577067551.035644,0.0,0.0,435154064.4,0.0,107346114.0,26694679.506363565,857733.6607190444,7014959.468561404,696840998.7460262,674633289.835269,11540448.000000002,10667260.910757168,10457695.920313925,170722572.56529988,9797342.169889413,17657603.79785362,505134899.6581186,0.0 
 03/13  18:00:00,589709653.2002156,0.0,0.0,435154064.4,12622800.0,107346114.0,26694679.506363565,868337.037492744,7023658.2563591939,730918898.2651161,698055573.4006173,11540448.000000002,21322876.86449893,14987309.852888188,152926217.2308016,18614926.897666374,17664439.677675554,517558424.5937383,0.0 
 03/13  19:00:00,615750637.9703646,0.0,0.0,435154064.4,37868400.0,107346114.0,26694679.506363565,889116.3905973444,7798263.6734036,759479157.8127897,715926785.3472004,11540448.000000002,32011924.46558924,18351188.123439798,144748806.9438868,24493348.985084204,20976753.170026684,528837402.84898069,0.0 
 03/13  20:00:00,615731810.0350337,0.0,0.0,435154064.4,37868400.0,107346114.0,26694679.506363565,939048.4077310041,7729503.720939087,790190267.7405086,746670682.7939844,11540448.000000002,31979136.946524204,20922661.523192385,137993476.15815265,21554132.253807464,20714687.663109289,548851752.2592416,0.0 
 03/13  21:00:00,235416806.4682385,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.12802060574787767,6550541.653417896,43522859.57767342,0.0,11540448.000000002,31982411.57767342,0.0,0.0,21554131.905412198,18415852.604955365,0.0,0.0 
 03/13  22:00:00,234970211.55731464,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.06980480903707381,6103946.800709797,22213809.526030329,0.0,11540448.000000002,10673361.526030329,0.0,0.0,11756803.730371653,16727536.251468657,0.0,0.0 
 03/13  23:00:00,237716868.14194317,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.05240896906866431,8850603.402734146,22203595.891972726,0.0,11540448.000000002,10663147.891972725,0.0,0.0,8817607.439540197,20430560.441957244,0.0,0.0 
 03/13  24:00:00,237473303.24944396,0.0,0.0,85725350.6868,37868400.0,105272514.0,2526681.6367956467,18468.584201146157,6061888.341647135,31265888.332160638,9074703.950476036,11540448.000000002,10650736.3816846,5593696.711458214,18584552.68997363,4898672.97611274,16884253.30465728,10311306.722052828,0.0 
 03/14  01:00:00,240010587.23891295,0.0,0.0,85725350.6868,37868400.0,105272514.0,5053363.273591293,42240.501570780296,6048718.7769508729,44240912.253542657,22049956.772233476,11540448.000000002,10650507.481309182,13550154.74005051,34341128.50195095,4892386.948285019,16857110.16570724,22998935.747978487,0.0 
 03/14  02:00:00,241303169.86976669,0.0,0.0,85725350.6868,37868400.0,105272514.0,6316704.091989117,78591.11520931026,6041609.9757682629,66244778.56259237,44054124.4878839,11540448.000000002,10650206.07470847,26321235.84590181,39246959.08582092,4892387.33900218,16813185.285296278,38129925.29399489,0.0 
