Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  19:00:00,535647860.70704379,0.0,0.0,189733389.44400008,78746400.0,189143078.4,64635517.27522782,945741.1745119902,12443734.413303974,587506491.4575708,570031155.4575708,17403336.0,72000.0,0.0,313229942.8230517,29874175.192837545,4298454.811362068,33905239.84110698,387403630.0543049,0.0 
 01/01  20:00:00,527116896.23650208,0.0,0.0,189733389.44400008,78746400.0,189143078.4,54816076.45214753,693207.6682530234,13984744.27210149,441931131.70874807,424455795.70874807,17403336.0,72000.0,0.0,250438957.72224096,22246256.35179899,4298454.811240269,40482202.7652106,310594811.66410228,0.0 
 01/01  21:00:00,546881268.3370319,0.0,0.0,189733389.44400008,78746400.0,189143078.4,74390040.01001719,980735.3049952061,13887625.178019414,597767935.0766151,580292599.0766151,17403336.0,72000.0,0.0,332785641.7687816,27228295.92230948,4298454.811153723,40070142.51141613,401813194.60272958,0.0 
 01/01  22:00:00,564197341.5605517,0.0,0.0,189733389.44400008,78746400.0,189143078.4,92057684.99078597,1471240.6907521955,13045548.035013466,865526392.2251473,816320563.7642641,17403336.0,31802492.460883209,0.0,476726447.75024947,10948626.86546232,4298454.810410422,36412576.33222049,564411495.8950878,0.0 
 01/01  23:00:00,571197856.4706421,0.0,0.0,189733389.44400008,78746400.0,189143078.4,99349616.10450407,2328259.24226594,11897113.279871988,1118818242.9595347,1101342906.9595347,17403336.0,72000.0,0.0,621398020.8775075,12273244.478295636,4298454.810636561,31449199.514179328,763885326.6105059,0.0 
 01/01  24:00:00,569801260.4904765,0.0,0.0,189733389.44400008,78746400.0,189143078.4,95089500.5404276,1628810.2745928092,15460081.831456105,847858357.231331,830383021.231331,17403336.0,72000.0,0.0,521841434.7849946,9034094.88913466,4298454.811366551,35111790.17178335,620906003.4990875,0.0 
 01/02  01:00:00,597560578.4987085,0.0,0.0,189733389.44400008,78746400.0,189143078.4,125320346.57415763,2739930.2949602876,11877433.785590519,1272442124.0833779,1254966788.0833779,17403336.0,72000.0,0.0,733392799.6197488,9768398.849828709,7178020.460067072,31333321.772570485,877353245.396275,0.0 
 01/02  02:00:00,588497787.7884774,0.0,0.0,189733389.44400008,78746400.0,189143078.4,117068644.32621019,1936398.45067361,11869877.16759362,997490653.1211885,948254292.6864108,17403336.0,31833024.434777708,0.0,603404763.8719214,7003724.390932211,7178020.44280619,31288538.41719026,707514015.1827285,0.0 
 01/02  03:00:00,633668900.602347,0.0,0.0,189733389.44400008,78746400.0,189143078.4,161244626.72899635,2935500.912883194,11865905.11646739,1314309306.0812734,1296833970.0812734,17403336.0,72000.0,0.0,778824581.420408,8856226.095750759,7178020.457630337,31265381.01835216,911190541.4230244,0.0 
 01/02  04:00:00,568562297.445786,0.0,0.0,189733389.44400008,78746400.0,189143078.4,97110710.90685535,1965314.0389502182,11863404.655980435,982213836.9434456,964738500.9434456,17403336.0,72000.0,0.0,607266960.0676875,6908816.075187641,7178020.460223557,31250544.53156447,720668952.7686844,339.8130534237512 
 01/02  05:00:00,628436337.9424015,0.0,0.0,189733389.44400008,78746400.0,189143078.4,154591982.25587807,2811070.37405329,13410417.468470224,1279845441.0036412,1230609370.4434996,17403336.0,31832734.560141609,0.0,742108105.7137334,9966836.292202115,7178020.444413131,37863093.98019632,865673155.7304672,0.0 
 01/02  06:00:00,567781986.1054447,0.0,0.0,189733389.44400008,78746400.0,189143078.4,95089500.5404276,1748152.9483289922,13321464.772688032,882407322.7078676,864931986.7078676,17403336.0,72000.0,0.0,551413681.2172551,8674731.729271774,7178020.461158128,37499265.06821776,648340975.5700884,0.0 
 01/02  07:00:00,747805439.1317422,0.0,0.0,189733389.44400008,78746400.0,191659478.4,254313066.00440527,20487109.00806517,12865996.275271815,8888924283.09681,8871448947.09681,17403336.0,72000.0,0.0,2486372710.5745675,30757690.200788659,7178020.456773354,35458964.94832444,6525354451.293756,0.0 
 01/02  08:00:00,1463345194.7702432,0.0,0.0,963113651.9999994,26248800.0,191659478.4,254313066.00440527,14000878.746819046,14009319.619019822,7587695330.340062,7472687562.830436,17403336.0,97604431.50962655,0.0,1598505419.760247,47788891.32854618,77348284.77996893,35553628.68443592,5660144055.97957,0.0 
 01/02  09:00:00,1761086649.0250476,0.0,7051.139127960919,963113651.9999994,0.0,524349514.9186813,254313066.00440527,4991310.860801739,14312054.10203126,6134757885.646634,5873065743.361631,130525020.0,131167122.28500325,0.0,598387096.7355409,137181502.6539318,101303899.2710907,37314509.40012957,4514391384.787006,62800.166202276894 
 01/02  10:00:00,1760386848.1701277,0.0,6812.483870778403,963113651.9999994,0.0,524349514.9186813,254313066.00440527,4036220.191431645,14567582.571738912,5772955184.59226,5443228447.400303,130525020.0,199201717.19195778,0.0,375870099.3962609,173888100.05598483,138629319.96565233,38667061.74594612,4137528090.169826,58070.22559161917 
 01/02  11:00:00,1781361791.0675114,0.0,4498.9882245319299,963113651.9999994,0.0,545953921.3186814,254313066.00440527,3253303.155804687,14723349.60039549,5279232320.089352,4938941113.484355,174033360.00000004,166257846.60499663,0.0,209113015.11941026,203437760.41062419,142935913.85504986,39160723.52464749,3761884300.0766146,37283.337346711865 
 01/02  12:00:00,1784635807.4818435,0.0,0.0,963113651.9999994,0.0,545953921.3186814,254313066.00440527,2812501.4425907547,18442666.716166449,4869316919.577838,4494857798.6799969,174033360.00000004,200425760.89784087,0.0,94667974.40537381,343628444.63419649,155857005.99933315,43543536.35106221,3416983102.926073,0.0 
 01/02  13:00:00,1780812688.6302653,0.0,0.0,963113651.9999994,0.0,545953921.3186814,254313066.00440527,2612459.609542342,14819589.69763657,4730758025.133087,4322137773.047155,174033360.00000004,234586892.0859322,0.0,56363168.43850594,439150314.7469224,165906253.0915918,39479181.204993288,3287550421.595665,0.0 
 01/02  14:00:00,1759489227.4578663,0.0,0.0,963113651.9999994,0.0,524349514.9186813,254313066.00440527,2824325.941414742,14888668.593365264,4909876040.441256,4621380176.634428,87016680.00000002,201479183.80682857,0.0,43233029.78083526,412833608.4095008,171648678.63800658,40377975.78340698,3510001382.1593568,0.0 
 01/02  15:00:00,1759717764.8933507,0.0,0.0,963113651.9999994,0.0,524349514.9186813,254313066.00440527,3094315.445795244,14847216.524469082,5145143663.225339,4858836909.8948969,87016680.00000002,199290073.33044315,0.0,39724397.77023444,440686896.8006957,140065244.59913085,40468307.80612026,3700511342.9449255,0.0 
 01/02  16:00:00,1731228511.2353867,0.0,0.0,963113651.9999994,0.0,496207971.0593406,254313066.00440527,2908946.1934365259,14684875.978204553,4670987496.546053,4487171282.037794,17403336.0,166412878.50825919,0.0,47044461.41350903,628015225.6883702,145807245.3712697,39418190.45413354,3430538546.9281108,0.0 
 01/02  17:00:00,1765698242.6223157,0.0,0.0,963113651.9999994,52497600.0,478868630.4,254313066.00440527,3032051.8713680927,13873242.346542499,4314684673.297963,4132351478.227294,17403336.0,164929859.07066927,0.0,68692630.64302565,819510190.6435926,119342328.83542535,34384858.67068035,3152597282.8047115,0.0 
 01/02  18:00:00,1505203051.2839993,0.0,0.0,963113651.9999994,78746400.0,191659478.4,254313066.00440527,3589493.5336065588,13780961.345988246,4976063514.653402,4793747467.64922,17403336.0,164912711.0041816,0.0,157365146.19147448,573052878.8773987,119342522.75646782,34068582.75382482,3628683015.7446806,0.0 
 01/02  19:00:00,1505135466.5265685,0.0,0.0,963113651.9999994,78746400.0,191659478.4,254313066.00440527,3509351.938717795,13793518.183446393,4886283619.547324,4703231435.181014,17403336.0,165648848.36631123,0.0,152754239.04046709,583354035.3859608,132262829.39873038,34096414.90969787,3572684634.2308208,0.0 
 01/02  20:00:00,1506331142.3584696,0.0,0.0,963113651.9999994,78746400.0,191659478.4,254313066.00440527,3079542.8508314795,15419003.103233558,4513699495.191355,4464162405.69227,17403336.0,32133753.4990843,0.0,132451321.68311209,584671683.9935036,35890060.82698563,40855150.41030994,3388942615.9440219,0.0 
 01/02  21:00:00,1506068625.1441396,0.0,0.0,963113651.9999994,78746400.0,191659478.4,254313066.00440527,2858768.0737573124,15377260.66597822,4390082822.596235,4308575299.7803959,17403336.0,64104186.81583984,0.0,137553489.34544534,592704601.807135,31583256.072248628,40514395.15092283,3272419819.511574,0.0 
 01/02  22:00:00,476675769.08117279,0.0,0.0,189733389.44400008,78746400.0,189143078.4,5817011.146993412,67508.21453712283,13168381.875642192,63414024.402333389,13918234.9738725,17403336.0,32092453.428460886,0.0,8779648.672709523,53786477.93723467,31583282.835552236,36295538.7495589,15308233.11980669,0.0 
 01/02  23:00:00,476820968.9674751,0.0,0.0,189733389.44400008,78746400.0,189143078.4,6783748.203696336,70859.15490964065,12343493.764869076,73898476.56035802,24558463.113444739,17403336.0,31936677.446913266,0.0,13094310.378382784,50120399.01778455,17227248.657969268,33697979.8709205,26782913.43011328,0.0 
 01/02  24:00:00,493027475.52577027,0.0,0.0,189733389.44400008,78746400.0,189143078.4,19073208.70546643,168839.96016779613,16162559.016135943,98199390.96651025,80724054.96651025,17403336.0,72000.0,0.0,39793080.90208242,132336421.77799966,12920436.714385039,38913675.22637772,77215641.41848277,0.0 
 01/03  01:00:00,485436546.324184,0.0,0.0,189733389.44400008,78746400.0,189143078.4,15258566.964373146,171758.90769304464,12383352.608117743,141150189.90058799,91913770.55929488,17403336.0,31833083.341293064,0.0,45160394.094798598,96404482.72523764,7191685.515820504,34332559.462251868,78283029.97325723,0.0 
 01/03  02:00:00,489346075.12297287,0.0,0.0,189733389.44400008,78746400.0,189143078.4,19073208.70546643,288450.04373311388,12361548.529773273,183360837.66761963,165885501.66761963,17403336.0,72000.0,0.0,67313765.17789179,93814678.33912818,7191685.495303938,34202155.61476392,131105679.05931629,0.0 
 01/03  03:00:00,487245929.61608836,0.0,0.0,189733389.44400008,78746400.0,189143078.4,16974223.844940865,281726.7137015552,12367111.213445794,193328795.51546944,175853459.51546944,17403336.0,72000.0,0.0,75202725.73811995,63763163.92823343,7191685.51706556,34074607.74335602,134129103.28796527,0.0 
 01/03  04:00:00,526297691.17301276,0.0,0.0,189733389.44400008,78746400.0,189143078.4,55929868.91572247,407356.88674998076,12337597.526540192,280261938.4701997,262786602.4701997,17403336.0,72000.0,0.0,141634918.39712069,74494304.29557228,7191685.515896335,33945390.86901012,192613081.01783423,0.0 
