Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 03/31  05:00:00,1247268.8884241735,0.0,0.0,15.599999999999996,26.7,15.599999999999996,26.7,15.599999999999996,26.7,15.599999999999996,26.7,15.599999999999996,26.7,25408374.472582614,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,3946052.6392880727,0.000014538461538461542,1997069.7020821546,326036.54577238819,1671033.1563097665,3922519.8681215366,0.0,131989.76250552937,260829.23661791054,0.0,0.0,0.0,1208747.7930452715,0.0,1475545.462289002,0.0,0.0,0.0,1522588.6205717154,0.0 
 03/31  06:00:00,1247297.7321275164,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,28166388.77280579,0.0,0.0,3584644.614720001,6638400.0,7920077.218560001,10023266.939511246,0.000014538461538461542,66865820.92015158,65194750.785417649,1671070.134733925,60491141.440505359,0.0,115491.04219233824,52155800.62833411,0.0,8408308.101331354,0.0,16393104.63563208,0.0,10462124.164238498,0.0,16539937.691868084,0.0,10375592.974774775,0.0 
 03/31  07:00:00,1247299.8625092987,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,28697278.00224579,0.0,0.0,10753933.844160002,0.0,7920077.218560001,10023266.939511246,0.000014538461538461542,59748469.118729259,58077396.25278706,1671072.8659421972,35003178.226084198,0.0,313475.68595063229,46461917.00222965,0.0,9873024.92562513,0.0,14465796.745338295,0.0,9026850.90063605,0.0,14156701.49443365,0.0,8962809.875707156,0.0 
 03/31  08:00:00,1247389.2322727945,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,25939386.4229577,24268198.982510896,1671187.4404468029,11496085.201231754,2785343.584439145,577455.210961691,19414559.186008719,0.0,3282421.694036753,0.0,8086186.595404185,0.0,5121655.140607396,0.0,7840847.287331918,0.0,5106715.408139415,0.0 
 03/31  09:00:00,1247493.1199151683,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,15735518.961536456,14064198.334263439,1671320.6272730185,4937543.025527697,3630593.6281846316,626951.3719012645,11251358.667410752,0.0,2297111.200002326,0.0,5835256.158776765,0.0,3715679.185766186,0.0,5685250.067396812,0.0,3741328.994979673,0.0 
 03/31  10:00:00,1247539.8721716144,0.0,0.0,21.000000000000005,24.000000000000005,21.000000000000005,24.000000000000005,21.000000000000005,24.000000000000005,21.000000000000005,24.000000000000005,21.000000000000005,24.000000000000005,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511247,0.000014538461538461542,8585271.976628894,6913891.411672123,1671380.5649567717,716079.3961318224,3879379.190917328,643450.0922144558,5531113.129337699,0.0,2297111.200002326,0.0,3951599.3179980919,0.0,2586240.128774602,0.0,4026781.258262132,0.0,2692648.1638117234,0.0 
 03/31  11:00:00,1247538.4135450707,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,3194291.5807840635,1522912.8858267985,1671378.694957265,0.0,6395255.248230688,775439.8547199852,1218330.3086614388,0.0,2297111.2000023277,0.0,2514664.340572826,0.0,1796819.1290980669,0.0,2747647.820266404,0.0,1885354.75823306,0.0 
 03/31  12:00:00,1247532.7041874934,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,58125222.90912577,0.0,0.0,32261801.53248001,0.0,15840154.437120002,10023266.939511246,0.000014538461538461542,2826162.3201548017,1154790.9447516055,1671371.375403196,0.0,5532320.227113971,940427.0578518966,923832.7558012843,0.0,2337233.7282896556,0.0,2378729.6272399669,0.0,1760649.7917181915,0.0,2674757.2618542148,0.0,1795729.2862104926,0.0 
 03/31  13:00:00,2495245.8154833365,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60142984.346767019,0.0,37742.13300123795,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,3270974.037700952,0.0,3270974.037700952,0.0,7784625.671218191,890930.8969123236,0.0,198921.14805883767,2297111.2000023259,70280.19976479004,2181014.30542125,51533.104543818816,1674814.1931522776,37281.308577634125,2118486.850194737,0.0,1751840.390740666,39826.53517258918 
 03/31  14:00:00,1247499.7178903786,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,1671329.0860594304,0.0,1671329.0860594304,0.0,8783551.528887159,560956.4906485,0.0,0.0,2297111.2000023259,0.0,2181014.305421247,0.0,1674814.1931522757,0.0,2118486.8501947347,0.0,1751840.3907406694,0.0 
