Time,BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
02:45:00,7.017506E+03,7.543641E+03,2.818938E-01,4.624082E-01,5.887665E+03,7.395069E+03,2.365243E-01,4.532658E-01,1.835069E+04,0.000000E+00,7.371834E-01,0.000000E+00,4.036694E+03,0.000000E+00,1.621386E-01,0.000000E+00,1.852035E+04,0.000000E+00,7.439897E-01,0.000000E+00,5.612178E+04,0.000000E+00,2.254542E+00,0.000000E+00
03:00:00,7.079342E+03,7.554918E+03,2.843769E-01,4.630935E-01,5.958030E+03,7.408393E+03,2.393501E-01,4.540763E-01,1.853352E+04,0.000000E+00,7.445256E-01,0.000000E+00,4.066911E+03,0.000000E+00,1.633521E-01,0.000000E+00,1.871799E+04,0.000000E+00,7.519254E-01,0.000000E+00,5.663748E+04,0.000000E+00,2.275249E+00,0.000000E+00
03:15:00,7.135134E+03,7.563236E+03,2.866169E-01,4.635978E-01,6.023059E+03,7.419057E+03,2.419617E-01,4.547246E-01,1.870132E+04,0.000000E+00,7.512640E-01,0.000000E+00,4.095691E+03,0.000000E+00,1.645084E-01,0.000000E+00,1.890105E+04,0.000000E+00,7.592765E-01,0.000000E+00,5.711107E+04,0.000000E+00,2.294265E+00,0.000000E+00
03:30:00,7.186120E+03,7.569014E+03,2.886636E-01,4.639469E-01,6.083542E+03,7.427413E+03,2.443908E-01,4.552318E-01,1.885676E+04,0.000000E+00,7.575057E-01,0.000000E+00,4.124036E+03,0.000000E+00,1.656477E-01,0.000000E+00,1.907142E+04,0.000000E+00,7.661175E-01,0.000000E+00,5.754917E+04,0.000000E+00,2.311858E+00,0.000000E+00
03:45:00,7.232257E+03,7.572653E+03,2.905156E-01,4.641653E-01,6.140063E+03,7.433820E+03,2.466609E-01,4.556201E-01,1.900177E+04,0.000000E+00,7.633294E-01,0.000000E+00,4.150844E+03,0.000000E+00,1.667257E-01,0.000000E+00,1.923078E+04,0.000000E+00,7.725167E-01,0.000000E+00,5.795692E+04,0.000000E+00,2.328231E+00,0.000000E+00
04:00:00,7.274450E+03,7.574414E+03,2.922090E-01,4.642689E-01,6.192868E+03,7.438496E+03,2.487817E-01,4.559025E-01,1.913768E+04,0.000000E+00,7.687878E-01,0.000000E+00,4.176360E+03,0.000000E+00,1.677515E-01,0.000000E+00,1.938040E+04,0.000000E+00,7.785246E-01,0.000000E+00,5.833832E+04,0.000000E+00,2.343547E+00,0.000000E+00
04:15:00,7.315321E+03,7.575475E+03,2.938498E-01,4.643297E-01,6.242316E+03,7.442498E+03,2.507677E-01,4.561439E-01,1.926594E+04,0.000000E+00,7.739391E-01,0.000000E+00,4.200682E+03,0.000000E+00,1.687290E-01,0.000000E+00,1.952137E+04,0.000000E+00,7.841857E-01,0.000000E+00,5.869650E+04,0.000000E+00,2.357931E+00,0.000000E+00
04:30:00,7.354978E+03,7.576008E+03,2.954430E-01,4.643584E-01,6.288692E+03,7.445975E+03,2.526302E-01,4.563534E-01,1.938684E+04,0.000000E+00,7.787951E-01,0.000000E+00,4.223897E+03,0.000000E+00,1.696621E-01,0.000000E+00,1.965448E+04,0.000000E+00,7.895310E-01,0.000000E+00,5.903395E+04,0.000000E+00,2.371482E+00,0.000000E+00
04:45:00,7.394700E+03,7.576162E+03,2.970393E-01,4.643642E-01,6.332230E+03,7.449062E+03,2.543786E-01,4.565392E-01,1.950044E+04,0.000000E+00,7.833579E-01,0.000000E+00,4.246086E+03,0.000000E+00,1.705538E-01,0.000000E+00,1.978019E+04,0.000000E+00,7.945791E-01,0.000000E+00,5.935269E+04,0.000000E+00,2.384281E+00,0.000000E+00
05:00:00,7.434691E+03,7.576074E+03,2.986472E-01,4.643553E-01,6.373112E+03,7.451884E+03,2.560204E-01,4.567089E-01,1.960712E+04,0.000000E+00,7.876420E-01,0.000000E+00,4.267322E+03,0.000000E+00,1.714071E-01,0.000000E+00,1.989907E+04,0.000000E+00,7.993526E-01,0.000000E+00,5.965434E+04,0.000000E+00,2.396394E+00,0.000000E+00
