Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  11:00:00,2946523976.7318918,0.0,183487631.08253489,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,155643497.3719923,4827196.816481548,514988786.9035014,16686306.690943174,2868738883.5247719,2486107669.6947739,254910148.24319998,127721065.58679861,905047111.02791,178332000.19351305,841461109.6572471,97919775.00930229,43478433.0245925,1963182801.1637903,359757039.81224527 
 01/01  12:00:00,2966590915.9348986,0.0,223841019.87376509,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,156349258.8793229,11932628.750845708,482131639.52010837,21445811.044417405,2685772323.9361836,2303154485.7527368,254910148.24319998,127707689.94024728,1104902095.7051578,159630305.2892031,872903328.8422724,97919783.93401255,48862144.22834112,1820622215.3093634,438481778.1413572 
 01/01  13:00:00,2975557863.74076,0.0,255755371.18143816,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,156936492.1074025,18625481.593500608,456777695.45932516,16572265.532655204,2597990150.2564899,2215386069.881258,254910148.24319998,127693932.13203211,1263150195.4559255,147229699.63160319,875830455.3431395,97919768.57106173,42762865.765792738,1753103714.7692714,499729487.4365514 
 01/01  14:00:00,2964174987.3730819,0.0,281864583.1032424,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.7459069,157399082.4943849,25058798.023212408,439054479.9239031,16897677.14270044,2477795410.1603257,2146187080.722377,203928118.59456,127680210.84338853,1392749801.3779603,135394235.2853653,876147600.6875266,97919724.48461472,44713928.41305806,1698521075.2237535,550709928.6800212 
 01/01  15:00:00,2964566649.4754478,0.0,292577266.57452228,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.74590685,157525880.05305229,28292175.79694103,425272487.65805736,16998472.7072358,2384998861.8613779,2104386246.6553424,152946088.94592,127666526.2601155,1445954370.3316837,126222976.31020962,884161694.9887519,97919651.43142897,45320656.512973438,1666492303.0832558,569941212.5030693 
 01/01  16:00:00,2946663232.547752,0.0,292495984.9844872,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.74590685,157501875.88343437,29365567.83988329,406478984.22812137,16920452.926186809,2404025987.62565,2104289520.8241699,203928118.59456,95808348.20691972,1445550575.572984,125243364.4132111,885848404.2709437,97919228.6093931,44843530.88361642,1665446058.1760963,569575951.2469702 
 01/01  17:00:00,2904330061.8552587,0.0,292588154.2848119,642985923.0816147,56238300.0,792155392.2367202,117333098.90109866,401083044.7459069,157495235.40611954,29867066.144079426,398612210.7900696,15971636.26483775,2531315604.2073156,2097682362.0375276,305892177.89184,127741064.27794789,1446008458.8971346,127475082.1490711,897356381.7976965,97919739.48668672,39955159.16835967,1658855655.4270786,569802777.9865275 
 01/01  18:00:00,2726423798.5407326,0.0,284559789.76816287,582833341.6376149,74984400.0,663791564.0523169,117333098.90109866,401083044.74590685,157648913.22843514,27660235.004011848,400488096.8068973,16041314.396288248,2656120931.052883,2223225474.33537,305892177.89184,127003278.82567318,1406131518.503645,150724731.23132239,840672611.7151532,81622262.0018184,40357497.20653223,1752275966.3571466,553080737.289754 
 01/01  19:00:00,2523289889.0439026,0.0,268319599.65072955,466682061.59458956,74984400.0,588435533.5237343,117333098.90109866,401083044.7459069,157846010.67087374,24073905.835811236,408485067.3057729,16047166.815385182,2739871723.628996,2385309503.7336356,305892177.89184,48670042.003520477,1325499993.1731685,164738667.1218599,737837002.4736736,49026587.37092801,40391158.60182235,1873308458.6203533,520793696.21547487 
 01/01  20:00:00,2493575876.9217545,0.0,274562198.036269,466682061.59458956,74984400.0,561445342.3429346,117333098.90109866,401083044.74590685,158046987.3161862,26682524.82226016,394464932.2000955,18291286.96241395,2629386366.8174135,2379811694.8297088,203928118.59456,45646553.39314425,1356489855.329404,170026278.66599689,707565301.9375924,49026664.63977206,49867443.13764323,1880688564.7614785,536339461.2087491 
 01/01  21:00:00,2361958249.0267736,0.0,271940899.84896907,466682061.59458956,74984400.0,448411296.5500608,117333098.90109866,401083044.74590685,158352675.09928135,27175432.66819008,377881016.4970094,18114323.12166804,2733270255.671894,2466476203.8350918,203928118.59456,62865933.24224269,1343476188.3238154,183099491.22875244,640711695.619838,49026867.1913961,49068334.92835356,1942966843.4196592,528277084.3466946 
 01/01  22:00:00,2351492860.870321,0.0,271438863.4561453,466682061.59458956,74984400.0,448411296.5500608,117333098.90109866,401083044.74590685,158392888.57157005,27820640.70803877,368295684.4209651,17050881.92194561,2688504652.0419795,2472693232.7770864,152946088.94592,62865330.318972859,1340981436.6584793,188388764.59155146,624167755.8244163,49027066.83361084,44523695.91404565,1953890123.826484,529322314.94109287 
 01/01  23:00:00,2226783651.272297,0.0,264227601.18038739,350530781.5515637,74984400.0,448411296.5500608,117333098.90109866,401083044.74590685,158490499.45998789,26421468.58476817,369931900.58770319,15369559.710820537,2709564935.5930016,2544736148.3302848,101964059.29728,62864727.96543701,1305190699.0178,208935477.2818146,574403923.8725015,49027243.233912918,37321296.30611339,2009577542.7351704,512941721.54108318 
 01/01  24:00:00,2228431907.573552,0.0,254241422.0617994,350530781.5515637,74984400.0,448411296.5500608,117333098.90109866,401083044.74590685,158328549.9345667,23495247.383857069,379831510.8686366,20192555.576062468,2697880546.0958859,2584034390.2613298,50982029.64864,62864126.18591644,1255634248.6759513,219288487.17351846,550246351.5861408,49027396.333101708,43216898.7317591,2043572977.1354345,494801966.4362252 
 01/02  01:00:00,2211578618.7459127,0.0,221671855.6896084,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,157630988.2198832,15959324.174506443,388835475.39207676,15471058.848408627,2766338359.109088,2683080337.3341257,20392811.859456,62865209.915506619,1094160499.5857573,227929046.9578134,526405739.9995247,49116968.54593305,37113940.67889112,2125891079.4499155,427492586.95171436 
 01/02  02:00:00,2201383435.7561995,0.0,214552286.48169855,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,157560167.78988756,14551571.722882979,387266845.5525549,15442647.787745957,2798733248.432013,2715475499.5747768,20392811.859456,62864936.99778055,1058867873.7390859,235230603.55005027,514021235.4795344,49117057.176800739,36948325.6924525,2146652491.369427,418073825.7214473 
 01/02  03:00:00,2209229393.970363,0.0,216660796.3005486,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,401083044.74590685,157608107.47909428,14788207.264705744,392726009.19007578,15436357.314509493,2803819873.764299,2720562610.309177,20392811.859456,62864451.595666129,1069311847.3580688,240310496.3925114,504438032.8504089,49117120.22548577,36911668.593921247,2152647673.654917,420489511.6327726 
 01/02  04:00:00,2205864034.294814,0.0,217682735.9213234,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,157656412.27534018,15212109.1600626,387873512.5033426,15429348.01331701,2808474094.2899467,2725217316.909404,20392811.859456,62863965.52108674,1074374961.1789735,243178569.79946355,496329028.7203534,49117127.823715,36870856.120500948,2155015840.911857,423707118.8707412 
