Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/27  05:00:00,379307248.66205707,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,4726.2911803596239,16842405.21727659,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,3067351.606913472,46192289.09351016,0.0,0.0 
 08/27  06:00:00,325532227.43596878,0.0,0.0,156648030.75360007,10756200.0,141274886.4,0.0,4756.687122093897,16848353.59524666,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,3067351.6064810168,47374277.789716038,0.0,0.0 
 08/27  07:00:00,314580686.0638392,0.0,0.0,156648030.75360007,0.0,141274886.4,0.0,4783.290015144211,16652985.620223986,48400007.81922113,0.0,17403336.0,30996671.81922113,0.0,0.0,0.0,3067351.6067139648,46012492.14512855,0.0,0.0 
 08/27  08:00:00,314953383.6687316,0.0,0.0,156648030.75360007,0.0,141274886.4,0.0,7855.739419189708,17022610.775712335,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5112252.617990921,46403716.2747038,0.0,0.0 
 08/27  09:00:00,315257573.25191488,0.0,0.0,156648030.75360007,0.0,141274886.4,0.0,7820.489180854254,17326835.60913389,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5112252.675818162,47154520.41975,0.0,0.0 
 08/27  10:00:00,361348302.7620675,0.0,41429746.64406123,156648030.75360007,0.0,141274886.4,2027961.7890450995,2488416.6704015827,17479260.504959499,17475336.0,0.0,17403336.0,72000.0,148124495.19238437,0.0,57770549.675797168,5112252.675554096,47088984.096016857,0.0,104941041.23196559 
 08/27  11:00:00,537367675.6354098,0.0,196569569.97552044,156648030.75360007,0.0,141274886.4,10463606.233594295,12116142.049566495,20295440.223128536,17475336.0,0.0,17403336.0,72000.0,713742321.6412815,0.0,289172748.7326231,5112252.678887125,49661805.45150464,0.0,506679081.13347706 
 08/27  12:00:00,643303932.7433196,0.0,278323606.9743148,156648030.75360007,0.0,141274886.4,34310279.997525367,15271692.908545969,17475435.70933336,48421111.41343073,0.0,17403336.0,31017775.413430726,917468512.509887,2308770.5541648555,439191574.67973628,5112252.676369573,45944630.33192021,0.0,711484407.7775107 
 08/27  13:00:00,610943129.404926,0.0,244375828.5567651,156648030.75360007,0.0,141274886.4,38476684.229039769,12564297.787051589,17603401.678469406,17475336.0,0.0,17403336.0,72000.0,775021428.9806881,1748842.2744345619,411836284.4684068,5112252.679414806,47168055.11008521,0.0,620287770.1579588 
 08/27  14:00:00,652752013.093826,0.0,289810338.67668566,156648030.75360007,0.0,141274886.4,31741096.329531515,15728736.525465895,17548924.408542906,17475336.0,0.0,17403336.0,72000.0,964972013.6234652,1681733.304441883,522195943.63562837,3067351.607606054,47168754.971109729,0.0,721590341.1025198 
 08/27  15:00:00,611136373.3747982,0.0,243529169.75587673,156648030.75360007,0.0,141274886.4,39875957.67097054,12259619.038590553,17548709.75576029,17475336.0,0.0,17403336.0,72000.0,761395677.410965,1000853.9819235297,450738110.1652806,3067351.6076612717,47168091.18142062,0.0,622455673.1280443 
 08/27  16:00:00,639081533.9241774,0.0,272409930.5494926,156648030.75360007,0.0,141274886.4,37149825.606249388,14397483.912025379,17201376.702809916,17475336.0,0.0,17403336.0,72000.0,888150314.7045877,1003865.7685033023,514436825.1409272,3067351.607628875,45085329.625869337,0.0,678089199.7633668 
 08/27  17:00:00,568336381.2273632,0.0,213003415.46871514,156648030.75360007,0.0,141274886.4,29211637.837526196,11374019.200951193,16824391.566570537,48399954.956255439,0.0,17403336.0,30996618.95625543,701655592.0748084,2035190.2060351594,414902030.1409564,3067351.607473343,43287686.29733182,0.0,538751766.9212282 
