Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 01/01  13:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,163182168.67763595,2379887.3936787096,0.0,82517173.07255998,0.0,34467320.35296,43817787.85843718,512537718.8869501,512537718.8869501,132072437.72408635,0.0,405188068.0302051,0.0,71817814.86984098,0.0,313411435.75708809,0.0,28002983.056059153,0.0,33355013.56898263,0.0 
 01/01  14:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,163452402.4121837,2650121.1282265034,0.0,82517173.07255998,0.0,34467320.35296,43817787.85843718,471640295.9823283,471640295.9823283,114930430.03294945,0.0,373382226.71814396,0.0,66305466.69773214,0.0,288378767.95063546,0.0,27201828.48866829,0.0,32625109.068326136,0.0 
 01/01  15:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,163522231.23479695,2719949.9508397367,0.0,82517173.07255998,0.0,34467320.35296,43817787.85843718,447848927.702672,447848927.702672,102401869.67812218,0.0,354770386.89665928,0.0,62954711.37370996,0.0,274673154.7451807,0.0,26400784.978264549,0.0,31800852.46411343,0.0 
 01/01  16:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,163737861.01593108,2935579.731973889,0.0,82517173.07255998,0.0,34467320.35296,43817787.85843718,438748943.2767529,438748943.2767529,95412146.56241465,0.0,347861956.9636766,0.0,61013818.922990579,0.0,268591969.50705286,0.0,26831549.869966356,0.0,32268105.547133276,0.0 
 01/01  17:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,183795684.41634549,3155003.132388261,0.0,82517173.07255998,19838400.0,34467320.35296,43817787.85843718,432920133.5275964,432920133.5275964,91038126.90881713,0.0,343524947.6092664,0.0,59540626.9251385,0.0,264433982.77153696,0.0,27324672.297027384,0.0,32849729.09862314,0.0 
 01/01  18:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,156289647.10200585,1852320.263808645,0.0,55011448.71503999,29757600.0,25850490.264719998,43817787.85843718,539317691.9106001,539317691.9106001,168854569.2812637,0.0,426009065.8865222,0.0,74440807.82567734,0.0,316352559.6336695,0.0,36370814.4106362,0.0,40771630.368177268,0.0 
 01/01  19:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,120380148.18442956,2065375.7919923573,0.0,27505724.357519997,29757600.0,17233660.17648,43817787.85843718,582063430.0436183,582063430.0436183,195413071.50495024,0.0,459832828.39779838,0.0,78302832.97506222,0.0,339202017.04323557,0.0,40456336.933389607,0.0,43585332.26956624,0.0 
 01/01  20:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,43228546.45539661,62731.44218036633,0.0,6876431.089379999,29757600.0,6462622.566179999,69161.35765624006,1320756.0663609782,1320756.0663609782,1172963.7697452959,0.0,1119336.295269149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099952.0487506984,0.0 
 01/01  24:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,43656016.35852344,275603.08992127879,0.0,6876431.089379999,29757600.0,6462622.566179999,283759.61304217189,7436272.939748306,7436272.939748306,6474522.307532144,0.0,6224621.441719924,0.0,0.0,0.0,0.0,0.0,2258507.8149078178,0.0,3935548.9069414909,0.0 
 01/02  01:00:00,15.600000000000004,30.00000000000001,15.600000000000004,30.00000000000001,15.600000000000004,90.00000000000002,15.600000000000004,30.00000000000001,15.600000000000004,30.00000000000001,46490668.13382238,472790.4119920754,0.0,6876431.089379999,29757600.0,8616830.08824,767016.5442103034,22796186.736243816,22796186.736243816,19332565.03365767,0.0,18709739.80098713,0.0,9977465.61247758,0.0,0.0,0.0,3777654.924442785,0.0,5210124.153293254,0.0 
