Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,5.952448E+03,3.350301E-01,3.204647E+03,1.084026E+04,2.976942E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.015553E+04,2.822975E+00,2.700246E+04,9.134035E+04,7.852595E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.726046E+03,2.660028E-01,2.544383E+03,8.606801E+03,7.852472E-01,2.611510E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.726046E+03,2.660028E-01,2.544383E+03,8.606801E+03
00:20:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,5.988471E+03,3.350301E-01,3.168624E+03,1.070416E+04,2.976942E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.045905E+04,2.822975E+00,2.669893E+04,9.019357E+04,7.852594E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.754646E+03,2.660028E-01,2.515782E+03,8.498743E+03,7.852471E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.754646E+03,2.660028E-01,2.515782E+03,8.498743E+03
00:30:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.024493E+03,3.350301E-01,3.132602E+03,1.056867E+04,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.076258E+04,2.822975E+00,2.639541E+04,8.905195E+04,7.852594E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.783247E+03,2.660028E-01,2.487181E+03,8.391170E+03,7.852471E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.783247E+03,2.660028E-01,2.487181E+03,8.391170E+03
00:40:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.060515E+03,3.350301E-01,3.096579E+03,1.043379E+04,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.106611E+04,2.822975E+00,2.609188E+04,8.791546E+04,7.852594E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.811847E+03,2.660028E-01,2.458581E+03,8.284081E+03,7.852471E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.811847E+03,2.660028E-01,2.458581E+03,8.284081E+03
00:50:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.096538E+03,3.350301E-01,3.060557E+03,1.029952E+04,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.136963E+04,2.822975E+00,2.578835E+04,8.678408E+04,7.852593E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.840448E+03,2.660028E-01,2.429980E+03,8.177474E+03,7.852470E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.840448E+03,2.660028E-01,2.429980E+03,8.177474E+03
01:00:00,1.688639E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.132560E+03,3.350301E-01,3.024535E+03,1.016585E+04,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.167316E+04,2.822975E+00,2.548483E+04,8.565777E+04,7.852593E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.869048E+03,2.660028E-01,2.401380E+03,8.071344E+03,7.852470E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.869048E+03,2.660028E-01,2.401380E+03,8.071344E+03
01:10:00,1.688639E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.156575E+03,3.350301E-01,3.000520E+03,1.007707E+04,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.187551E+04,2.822975E+00,2.528248E+04,8.490971E+04,7.852593E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.888116E+03,2.660028E-01,2.382313E+03,8.000856E+03,7.852470E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.888116E+03,2.660028E-01,2.382313E+03,8.000856E+03
01:20:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.180590E+03,3.350301E-01,2.976505E+03,9.988552E+03,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.207786E+04,2.822975E+00,2.508013E+04,8.416387E+04,7.852593E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.907183E+03,2.660028E-01,2.363246E+03,7.930577E+03,7.852470E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.907183E+03,2.660028E-01,2.363246E+03,7.930577E+03
01:30:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.204605E+03,3.350301E-01,2.952490E+03,9.900302E+03,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.228021E+04,2.822975E+00,2.487778E+04,8.342027E+04,7.852593E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.926250E+03,2.660028E-01,2.344178E+03,7.860510E+03,7.852470E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.926250E+03,2.660028E-01,2.344178E+03,7.860510E+03
01:40:00,1.688640E+00,4.625713E+04,3.350301E-01,0.000000E+00,0.000000E+00,3.350301E-01,6.228620E+03,3.350301E-01,2.928475E+03,9.812314E+03,2.976943E+00,1.748434E+05,2.822975E+00,0.000000E+00,0.000000E+00,2.822975E+00,5.248256E+04,2.822975E+00,2.467543E+04,8.267888E+04,7.852593E-01,2.611533E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.945317E+03,2.660028E-01,2.325111E+03,7.790650E+03,7.852470E-01,2.611509E+04,2.660028E-01,0.000000E+00,0.000000E+00,2.660028E-01,4.945317E+03,2.660028E-01,2.325111E+03,7.790650E+03
