Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/22  10:00:00,4852591999.654015,0.0,960454390.4641352,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,151881831.33292563,236105943.58156917,142470983.99305547,55386836.00439943,0.0,55386836.00439943,7575599408.372112,0.0,4195841599.15952,41750581.40965931,0.0,5722237347.694478 
 06/22  11:00:00,4924552597.419162,0.0,1035824070.8319641,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,149954478.1227789,234624214.18903376,142470983.99305547,63468348.86881895,0.0,63468348.86881895,8242610470.483074,0.0,4170258396.3195378,50314780.42108816,0.0,5958348298.157209 
 06/22  12:00:00,4692096623.997553,0.0,999525816.1239408,1614839557.0092962,0.0,1435412939.5638197,131999736.26373624,133447040.403287,234400550.64041747,142470983.99305547,79605220.80141196,0.0,79605220.80141196,7804745170.802494,0.0,3857588612.8106815,61019833.44687952,0.0,5556613468.6326479 
 06/22  13:00:00,4900786581.307611,0.0,1010668807.1526935,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,150860695.95534558,235107243.92418827,142470983.99305547,71576104.51319692,0.0,71576104.51319692,8005820449.734614,0.0,4197070423.534334,57808461.04984975,0.0,5865810812.2831339 
 06/22  14:00:00,4827095588.490638,0.0,934962121.5081294,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,151816898.04091538,236166734.66620804,142470983.99305547,47391472.38722668,0.0,47391472.38722668,7316397473.287705,0.0,4230910793.1869804,36397943.280823189,0.0,5599188673.332659 
 06/22  15:00:00,4819366810.045789,0.0,917755232.0061666,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,160785977.90515835,236675765.8590796,142470983.99305547,40894872.51759983,0.0,40894872.51759983,7217194369.876571,0.0,4399955896.616525,35327408.82051197,0.0,5672800353.364725 
 06/22  16:00:00,4943278622.468201,0.0,855897116.7135265,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,169419666.2200471,237812356.90759374,142470983.99305547,61984430.260188329,0.0,61984430.260188329,6654934082.0511879,0.0,4544360985.061612,47103206.47579356,0.0,5478452240.392488 
 06/22  17:00:00,4230628744.1967008,0.0,592632892.6624702,1255986322.1183415,0.0,1435412939.5638197,439999120.8791207,139988038.06519855,224138446.91469396,142470983.99305547,39398639.09739748,0.0,39398639.09739748,4411039650.926549,0.0,4023855219.88818,27833647.034070255,0.0,3741055976.0362508 
 06/22  18:00:00,3319081998.7087748,0.0,434160769.99977496,897133087.2273873,0.0,1076559704.672864,439999120.8791207,115849331.45300818,212909000.4835639,142470983.99305547,23630094.03501262,0.0,23630094.03501262,3132431138.262807,0.0,3478321857.7614996,22481035.52006472,0.0,2633606068.563408 
 06/22  19:00:00,3136951960.24124,0.0,358121524.58769217,897133087.2273873,0.0,1076559704.672864,351999296.7032966,108822012.18462813,201845350.8723161,142470983.99305547,23579349.82852407,0.0,23579349.82852407,2829413916.997412,0.0,3274758998.964751,16057899.26379123,0.0,1889894611.2853282 
