Program Version:,EnergyPlus, Version 9.2.0-921312fa1d, YMD=2020.12.22 17:49
Tabular Output Report in Format: ,Comma

Building:,Ref Bldg Large Office New2004_v1.3_5.0
Environment:,RUNPERIOD 1 ** Chicago Ohare Intl Ap IL USA TMY3 WMO#=725300

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,25521.42,550.98,550.98
,Net Site Energy,25521.42,550.98,550.98
,Total Source Energy,76822.93,1658.51,1658.51
,Net Source Energy,76822.93,1658.51,1658.51


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.546
,Natural Gas,1.092
,District Cooling,0.848
,District Heating,1.647
,Steam,0.585
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,46320.38
,Net Conditioned Building Area,46320.38
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,0.00,5326.35,0.00,0.00,0.00,0.00
,Cooling,1707.90,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,5636.33,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,805.32,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,8383.98,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,1895.08,0.00,0.00,0.00,0.00,0.00
,Fans,587.89,0.00,0.00,0.00,0.00,0.00
,Pumps,564.99,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,367.00,0.00,0.00,0.00,0.00,9327.73
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,246.60,0.00,0.00,0.00,1504.13
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,19948.47,5572.95,0.00,0.00,0.00,10831.86
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,Boiler,0.00,5326.35,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,1707.90,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,General,5636.33,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Exterior Facade Lighting,805.32,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,General,8383.98,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Elevators,1895.08,0.00,0.00,0.00,0.00,0.00
,Fans,Fan Energy,587.89,0.00,0.00,0.00,0.00,0.00
,Pumps,General,564.99,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,367.00,0.00,0.00,0.00,0.00,0.00
,,Other,0.00,0.00,0.00,0.00,0.00,9327.73
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Water Heater,0.00,246.60,0.00,0.00,0.00,0.00
,,General,0.00,0.00,0.00,0.00,0.00,1504.13
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Additional Fuel Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,139.07,0.00,0.00,0.00,0.00,0.00
,HVAC,69.68,120.31,0.00,0.00,0.00,0.23
,Other,221.91,0.00,0.00,0.00,0.00,0.00
,Total,430.66,120.31,0.00,0.00,0.00,0.23


Utility Use Per Total Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Additional Fuel Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,139.07,0.00,0.00,0.00,0.00,0.00
,HVAC,69.68,120.31,0.00,0.00,0.00,0.23
,Other,221.91,0.00,0.00,0.00,0.00,0.00
,Total,430.66,120.31,0.00,0.00,0.00,0.23


Electric Loads Satisfied

,,Electricity [GJ],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,19948.469,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,19948.469,100.00
,,,
