Time,BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BAKERY:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BAKERY:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DELI:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DELI:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],DRYSTORAGE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DRYSTORAGE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],OFFICE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],OFFICE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PRODUCE:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PRODUCE:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],SALES:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SALES:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
02:45:00,2.459661E+04,5.521171E+03,9.868842E-01,3.385071E-01,2.189602E+04,5.684948E+03,8.787348E-01,3.485319E-01,6.685394E+04,0.000000E+00,2.682703E+00,0.000000E+00,1.314190E+04,0.000000E+00,5.272391E-01,0.000000E+00,6.585168E+04,0.000000E+00,2.642735E+00,0.000000E+00,1.699136E+05,0.000000E+00,6.820441E+00,0.000000E+00
03:00:00,2.466292E+04,5.499952E+03,9.895643E-01,3.371996E-01,2.195957E+04,5.671080E+03,8.812760E-01,3.476753E-01,6.701947E+04,0.000000E+00,2.689325E+00,0.000000E+00,1.317670E+04,0.000000E+00,5.286402E-01,0.000000E+00,6.603381E+04,0.000000E+00,2.650026E+00,0.000000E+00,1.704304E+05,0.000000E+00,6.841150E+00,0.000000E+00
03:15:00,2.472567E+04,5.475349E+03,9.920985E-01,3.356853E-01,2.201785E+04,5.653835E+03,8.836058E-01,3.466123E-01,6.716586E+04,0.000000E+00,2.695172E+00,0.000000E+00,1.320917E+04,0.000000E+00,5.299466E-01,0.000000E+00,6.620158E+04,0.000000E+00,2.656739E+00,0.000000E+00,1.709120E+05,0.000000E+00,6.860447E+00,0.000000E+00
03:30:00,2.478530E+04,5.447840E+03,9.945031E-01,3.339931E-01,2.207146E+04,5.633686E+03,8.857496E-01,3.453717E-01,6.730184E+04,0.000000E+00,2.700586E+00,0.000000E+00,1.323961E+04,0.000000E+00,5.311713E-01,0.000000E+00,6.635637E+04,0.000000E+00,2.662931E+00,0.000000E+00,1.713632E+05,0.000000E+00,6.878526E+00,0.000000E+00
03:45:00,2.484207E+04,5.417800E+03,9.967907E-01,3.321460E-01,2.212090E+04,5.611004E+03,8.877263E-01,3.439760E-01,6.743206E+04,0.000000E+00,2.705784E+00,0.000000E+00,1.326828E+04,0.000000E+00,5.323244E-01,0.000000E+00,6.649912E+04,0.000000E+00,2.668636E+00,0.000000E+00,1.717876E+05,0.000000E+00,6.895536E+00,0.000000E+00
04:00:00,2.489621E+04,5.385530E+03,9.989709E-01,3.301623E-01,2.216536E+04,5.586083E+03,8.895034E-01,3.424432E-01,6.755936E+04,0.000000E+00,2.710885E+00,0.000000E+00,1.329538E+04,0.000000E+00,5.334140E-01,0.000000E+00,6.663059E+04,0.000000E+00,2.673887E+00,0.000000E+00,1.721868E+05,0.000000E+00,6.911534E+00,0.000000E+00
04:15:00,2.494790E+04,5.354955E+03,1.001052E+00,3.282827E-01,2.220721E+04,5.562519E+03,8.911719E-01,3.409938E-01,6.768877E+04,0.000000E+00,2.716091E+00,0.000000E+00,1.332106E+04,0.000000E+00,5.344468E-01,0.000000E+00,6.675240E+04,0.000000E+00,2.678747E+00,0.000000E+00,1.725625E+05,0.000000E+00,6.926592E+00,0.000000E+00
04:30:00,2.499732E+04,5.326284E+03,1.003041E+00,3.265200E-01,2.224779E+04,5.540519E+03,8.927935E-01,3.396405E-01,6.781501E+04,0.000000E+00,2.721196E+00,0.000000E+00,1.334546E+04,0.000000E+00,5.354279E-01,0.000000E+00,6.686447E+04,0.000000E+00,2.683216E+00,0.000000E+00,1.729167E+05,0.000000E+00,6.940781E+00,0.000000E+00
04:45:00,2.504462E+04,5.299697E+03,1.004944E+00,3.248856E-01,2.228791E+04,5.520269E+03,8.944028E-01,3.383949E-01,6.793658E+04,0.000000E+00,2.726110E+00,0.000000E+00,1.336870E+04,0.000000E+00,5.363618E-01,0.000000E+00,6.696436E+04,0.000000E+00,2.687194E+00,0.000000E+00,1.732511E+05,0.000000E+00,6.954176E+00,0.000000E+00
05:00:00,2.508993E+04,5.275365E+03,1.006766E+00,3.233899E-01,2.232913E+04,5.501945E+03,8.960620E-01,3.372677E-01,6.805391E+04,0.000000E+00,2.730845E+00,0.000000E+00,1.339084E+04,0.000000E+00,5.372521E-01,0.000000E+00,6.706184E+04,0.000000E+00,2.691062E+00,0.000000E+00,1.735669E+05,0.000000E+00,6.966824E+00,0.000000E+00
05:15:00,2.513337E+04,5.264533E+03,1.008513E+00,3.227220E-01,2.236957E+04,5.495823E+03,8.976979E-01,3.368889E-01,6.816714E+04,0.000000E+00,2.735411E+00,0.000000E+00,1.341199E+04,0.000000E+00,5.381019E-01,0.000000E+00,6.715730E+04,0.000000E+00,2.694872E+00,0.000000E+00,1.738661E+05,0.000000E+00,6.978806E+00,0.000000E+00
05:30:00,2.517505E+04,5.267429E+03,1.010190E+00,3.228968E-01,2.240876E+04,5.502149E+03,8.992820E-01,3.372741E-01,6.827641E+04,0.000000E+00,2.739813E+00,0.000000E+00,1.343219E+04,0.000000E+00,5.389140E-01,0.000000E+00,6.725293E+04,0.000000E+00,2.698707E+00,0.000000E+00,1.741501E+05,0.000000E+00,6.990177E+00,0.000000E+00
05:45:00,2.521508E+04,5.284350E+03,1.011799E+00,3.239327E-01,2.244676E+04,5.521242E+03,9.008160E-01,3.384431E-01,6.838182E+04,0.000000E+00,2.744059E+00,0.000000E+00,1.345152E+04,0.000000E+00,5.396908E-01,0.000000E+00,6.735342E+04,0.000000E+00,2.702755E+00,0.000000E+00,1.744195E+05,0.000000E+00,7.000967E+00,0.000000E+00
06:00:00,2.525337E+04,5.315629E+03,1.013339E+00,3.258502E-01,2.248342E+04,5.553476E+03,9.022942E-01,3.404190E-01,6.848309E+04,0.000000E+00,2.748136E+00,0.000000E+00,1.346994E+04,0.000000E+00,5.404312E-01,0.000000E+00,6.745053E+04,0.000000E+00,2.706695E+00,0.000000E+00,1.746747E+05,0.000000E+00,7.011182E+00,0.000000E+00
06:15:00,3.120023E+04,1.142674E+04,1.348546E+00,8.547711E-01,2.856956E+04,1.166355E+04,1.234944E+00,8.690822E-01,8.529388E+04,2.797245E+03,3.685691E+00,2.638678E-01,1.629774E+04,9.516105E+02,7.043112E-01,8.649452E-02,8.494462E+04,5.191368E+03,3.666554E+00,4.741452E-01,2.267642E+05,6.426135E+03,9.785386E+00,6.136877E-01
06:30:00,3.551825E+04,1.605521E+04,1.643594E+00,1.357167E+00,3.294533E+04,1.641039E+04,1.525049E+00,1.385388E+00,9.729715E+04,4.820980E+03,4.500978E+00,4.621918E-01,1.846023E+04,1.679481E+03,8.544257E-01,1.578399E-01,9.726362E+04,8.770251E+03,4.495236E+00,8.248931E-01,2.624066E+05,1.113587E+04,1.212425E+01,1.075194E+00
06:45:00,3.923476E+04,2.019758E+04,1.907256E+00,1.812761E+00,3.671409E+04,2.065626E+04,1.783597E+00,1.853648E+00,1.076646E+05,6.753242E+03,5.230868E+00,6.517186E-01,2.030302E+04,2.339806E+03,9.878698E-01,2.226505E-01,1.080288E+05,1.212369E+04,5.242620E+00,1.153909E+00,2.938226E+05,1.565948E+04,1.424193E+01,1.518728E+00
07:00:00,4.263879E+04,2.410013E+04,2.154834E+00,2.244992E+00,4.016051E+04,2.465690E+04,2.025592E+00,2.298143E+00,1.171894E+05,8.648431E+03,5.917392E+00,8.375929E-01,2.197438E+04,2.961788E+03,1.112478E+00,2.836800E-01,1.180165E+05,1.538370E+04,5.950038E+00,1.473706E+00,3.233062E+05,2.013953E+04,1.626043E+01,1.957965E+00
