Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/27  12:00:00,1242890650.517693,0.0,127502.98772520208,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.0024200383749639739,521242220.6828622,132928677.39282619,86781886.7237372,37827000.0,8319790.669088998,139025384.02454726,41308299.04805434,3997361.2160595136,1252146160.5334573,67689871.64451503,613796.2104316072 
 03/27  13:00:00,1253629113.5563956,0.0,172278.24811402287,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.0023695910188533035,531935908.4612262,44844577.54716344,2821989.7360924247,37827000.0,4195587.811071018,103824677.66242913,43237320.41487682,3932785.4268929937,1222562716.328073,2201151.994152091,794215.3243643025 
 03/27  14:00:00,1228421362.9826484,0.0,281793.8469667527,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.0019468053041709888,506618642.28904917,42021665.191354397,0.0,37827000.0,4194665.191354395,103055144.31737218,49056939.66260862,3223652.1143373085,1137032658.0646125,0.0,1211247.6767435983 
 03/27  15:00:00,1222818559.3568395,0.0,3028964.0294957759,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.0017531779309390825,498268668.4809047,42021783.23676653,0.0,37827000.0,4194783.236766536,104815486.97648618,56324367.64059304,2901323.377388261,1083639821.883364,0.0,12501242.554929639 
 03/27  16:00:00,1226510109.4171468,0.0,1534346.5299595996,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.0017932907370122153,503454836.0407078,42021344.40304579,0.0,37827000.0,4194344.40304579,76721814.6569683,62583522.24073383,2965761.8641528387,1099258524.950388,0.0,6407363.252988226 
 03/27  17:00:00,1212087580.225919,0.0,0.0,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.001832258826708033,490566653.37940087,46144199.71812998,0.0,37827000.0,8317199.718129982,63941798.61053786,71300009.34478516,3030259.412042593,1083813115.2203422,0.0,0.0 
 03/27  18:00:00,1129309993.3253508,0.0,0.0,244494330.55021499,0.0,132695745.20377517,205732517.6651163,0.0016351125691454832,546387399.9046093,117155489.89716362,79336889.22251609,33624000.00000001,4194600.674647521,115759999.43198036,84640894.04810111,2707904.862489746,1048667396.5879164,61882773.59356254,0.0 
 03/27  19:00:00,1124603790.98702,0.0,0.0,244494330.55021499,59047200.0,132695745.20377517,205732517.6651163,0.001323810288533682,482633997.5665898,227076002.73355986,193380002.73355986,33624000.00000001,72000.0,170846088.8756827,85100528.1034781,2192101.939833151,1284903607.1706167,150836402.1321767,0.0 
 03/27  20:00:00,997547484.8015269,0.0,0.0,203745275.45851249,59047200.0,116344577.05330327,205732517.6651163,0.0012823205042312937,412677914.62331238,311731537.6752912,278116678.434455,29420999.999999998,4193859.240836241,216926141.30636654,68529135.55689569,2127637.6182017268,1105186900.8089305,216931009.17887489,0.0 
 03/27  21:00:00,730965360.31148,0.0,0.0,81498110.183405,59047200.0,67291072.60188759,205732517.6651163,0.0008935952258381553,317396459.8601774,196316513.74836947,175311925.1280341,16812000.000000005,4192588.6203353169,148835641.67545874,39362266.01371366,1482892.601554534,715439088.7403078,136743301.5998666,0.0 
 03/27  22:00:00,403459069.38925579,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,0.0,0.0005097215144363898,291335005.541951,8478000.000000002,0.0,8406000.000000002,72000.0,0.0,0.0,838161.7644715333,582522453.0322514,0.0,0.0 
 03/27  23:00:00,526489408.46865579,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,0.0,0.0003097990094570286,414365344.6215509,12597772.462612754,0.0,8406000.000000002,4191772.462612752,0.0,0.0,515791.688468094,611902353.6177769,0.0,0.0 
 03/27  24:00:00,431129980.78169396,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,0.0,0.00015516348046770506,319005916.9347437,8478000.000000002,0.0,8406000.000000002,72000.0,0.0,0.0,257895.93241580975,668556643.7158792,0.0,0.0 
