Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  22:00:00,2350140462.156378,0.0,284924671.54149726,466682061.59458956,74984400.0,448411296.5500608,117333098.90109866,396739862.2797197,157685225.8012154,27775059.126575438,358560258.8020847,17044527.55953596,2500264708.26721,2282843188.737648,152946088.94592,64475430.58364232,1338704843.2556825,129110794.54929309,687981941.3173362,49027071.57664902,44486651.467042658,1803989678.3673759,521498283.17707976 
 01/01  23:00:00,2224593811.4609606,0.0,277205882.42364856,350530781.5515637,74984400.0,448411296.5500608,117333098.90109866,396739862.2797197,157869706.86353988,26359003.550260724,359796796.8766111,15362982.464457568,2530158548.0596334,2363719675.962698,101964059.29728,64474812.7996551,1302272694.0799635,138039148.47097928,623718927.0578842,49027247.38905205,37282869.12216014,1863793374.3509629,505077097.7861898 
 01/01  24:00:00,2225316550.0653288,0.0,266613180.08140374,350530781.5515637,74984400.0,448411296.5500608,117333098.90109866,396739862.2797197,157720571.80456785,23424453.564448328,369368357.61563077,20190547.716834904,2516013992.3842117,2400557767.133271,50982029.64864,64474195.602299857,1252282627.6426748,146406552.28928358,596552475.0733521,49027399.89872534,43201072.11472234,1898537417.682344,487003040.24900218 
 01/02  01:00:00,2206353014.0419895,0.0,232222525.98377923,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,157049340.43380104,15880681.236378462,378066851.106109,15466881.326679036,2586466587.5754387,2501598468.7211534,20392811.859456,64475306.994829449,1090135423.5213874,153770898.37494264,570012057.019424,49116971.548080418,37089627.506498549,1982180779.9720598,420274048.9225618 
 01/02  02:00:00,2195324923.9646255,0.0,224439271.31941615,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,156975135.05253027,14439970.045365256,376363866.40598228,15439947.186089741,2617040166.8814585,2532172327.866029,20392811.859456,64475027.155973169,1053444277.1114135,158746515.2221529,556289266.4988314,49117059.69791922,36932685.38028975,2001444684.7151929,410484729.5485333 
 01/02  03:00:00,2203090159.1904218,0.0,226667407.11492098,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,157026835.38070408,14677050.944655279,381619101.6474046,15433030.147494927,2620807147.9127008,2535939806.7179615,20392811.859456,64474529.335283387,1063939948.5515813,161714063.14274628,545985039.0580086,49117121.333090048,36892298.95526915,2006410580.5978044,412969596.5445752 
 01/02  04:00:00,2199679680.729784,0.0,227693657.6953985,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,157072008.85623337,15095098.075165229,376726367.19322839,15425814.954516262,2623558839.265003,2538691996.611661,20392811.859456,64474030.793886478,1068775249.9495305,163189536.07416684,537869008.5814326,49117127.874069269,36850267.0880287,2007369517.443281,415937848.8101753 
 01/02  05:00:00,2709307093.632865,0.0,260668817.73267205,767444968.8145875,74984400.0,536289837.963264,117333098.90109866,396739862.2797197,157155196.65379784,22533257.359155869,358406570.1900572,17751083.738511206,2373256459.143733,2288387394.2002365,20392811.859456,64476253.08404097,1224252242.607451,106465283.51989557,645523361.221828,49117062.151717517,46795959.36482462,1813631009.0384203,478780438.4380121 
 01/02  06:00:00,2736354598.1812398,0.0,280008154.00891759,767444968.8145875,74984400.0,539619837.963264,117333098.90109866,396739862.2797197,161326094.5342278,27113600.26433556,353475422.3141961,18309159.100892348,3432978401.816746,3317514238.1364576,50982029.64864,64482134.03164919,1315495209.3386605,649283462.4287089,492065552.3637347,49117094.75909387,50354134.655761498,2608816648.311842,511874520.8308593 
 01/02  07:00:00,3800591475.7917735,0.0,300700697.8102112,1244511737.5216106,74984400.0,1089404771.5169283,117333098.90109866,396739862.2797197,159218353.9657252,30738020.554807016,368338714.9239537,18621818.317719938,2883420075.6379916,2716976380.8728358,101964059.29728,64479635.46787626,1413203575.8539499,332801711.3145063,705757496.6254883,49117114.45442058,53072494.602142687,2168792496.6603009,550539573.3918347 
 01/02  08:00:00,4323286237.580943,0.0,311405606.70738318,1605427226.1856087,18746100.0,1116394962.6977282,293332747.2527466,396739862.2797197,158441791.62200407,32807164.93134887,370704197.6254059,19286578.278997054,2699271454.8087437,2415959384.7914278,152946088.94592,130365981.07139555,1463772416.372974,190744926.4180548,847150864.5132126,83944653.79000314,52263344.565270479,1918995079.1097918,569482149.6765375 
 01/02  09:00:00,4459249177.946664,0.0,322543151.74845007,1605427226.1856087,0.0,1116394962.6977282,439999120.87911996,396739862.2797197,158292060.81641243,36380748.52512449,362688860.32109799,20783184.49340198,2593296800.8182327,2258223027.9631359,203928118.59456,131145654.26053694,1516408386.8494492,140047552.20590506,942571708.6833091,102575897.7239573,54589325.05654177,1788052213.4287723,590803890.0274861 
 01/02  10:00:00,4593663860.875523,0.0,339033985.63329067,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,396739862.2797197,158306027.91143648,41890856.73537737,355267226.34525087,20928409.76241765,2415740808.6243216,2130988401.0410076,152946088.94592,131806318.63739372,1594376456.2661639,109562033.1598396,1020730151.9209205,116724335.34706383,55229091.62920952,1689737588.592352,621330509.3492656 
 01/02  11:00:00,4651321474.654419,0.0,362587952.2464801,1605427226.1856087,0.0,1116394962.6977282,586665494.5054932,396739862.2797197,158525046.88296388,50066057.12102863,353972521.3878383,20942351.347557665,2457676363.434198,2003606668.1662288,254910148.24319998,199159547.0247693,1705813860.0394827,86277795.47720349,1110548917.1274186,137946780.02784363,54740509.89914006,1585140481.684129,665512989.9489117 
 01/02  12:00:00,4667032533.74357,0.0,374533250.74337437,1605427226.1856087,0.0,1116394962.6977282,586665494.5054932,396739862.2797197,158535477.50907833,55041124.241983789,348116637.286187,25578498.294397274,2316303408.4652349,1895024872.600811,254910148.24319998,166368387.62122417,1762354601.2805148,66916135.81841936,1185387490.1768656,145020844.98553664,59736526.53525914,1498471823.7851473,686098722.4117856 
 01/02  13:00:00,4504534657.607012,0.0,374863090.2761053,1605427226.1856087,0.0,1116394962.6977282,439999120.87911996,396828705.3362968,158332337.30321623,56860949.10739295,335023001.3505008,20805264.471043387,2223432262.971589,1803248955.738832,254910148.24319998,165273158.98955707,1763916268.5681163,50760885.152489949,1249865812.8897954,125567051.06473077,53652160.69642298,1424911096.8206866,686581711.5140103 
 01/02  14:00:00,4536596517.395645,0.0,348425330.76782676,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,397316242.47124448,157673224.07780973,53212432.75963007,277447926.08879,21023869.0223139,2162548307.597498,1758979646.1768876,203928118.59456,199640542.8260505,1638806782.6989859,39998495.79546971,1282501022.6911634,145020852.39206819,55618151.01790972,1391162371.9329272,635157332.0384226 
 01/02  15:00:00,4477156211.752275,0.0,322077153.15872827,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,397796788.3603887,157029887.18407256,46035504.671136397,251625452.83163239,21093933.3382876,2048238217.7503362,1729322708.230423,152946088.94592,165969420.57399334,1514205464.0969854,31629378.436950678,1305241183.7399512,137946879.1531145,56423496.65580637,1369098222.5049539,587863494.8300672 
 01/02  16:00:00,4491136587.893814,0.0,333859979.3782154,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,398214207.48567548,157215280.73915819,51423839.28564373,247891803.44551445,21033985.351577667,2060268939.044472,1690770867.114388,203928118.59456,165569953.3355236,1569913135.3508342,22563103.826006503,1336009988.0609735,130872706.96562073,55917193.32385782,1337827995.280607,612473571.1337026 
 01/02  17:00:00,4579878981.657253,0.0,345978832.2124073,1605427226.1856087,56238300.0,1116394962.6977282,586665494.5054932,398589730.5901337,157359555.66514413,57901707.03668034,237230725.60816849,18092447.155888857,2118443762.714789,1648055370.8487049,305892177.89184,164496213.9742436,1627222280.9179099,16418933.562573102,1374189225.911409,111418659.6253913,47978712.7784393,1301977989.911325,633296005.5880292 
 01/02  18:00:00,4570712629.438449,0.0,328492964.6913978,1605427226.1856087,74984400.0,1116394962.6977282,586665494.5054932,398959200.4133447,156869055.4135065,50724506.96317826,234114421.3358546,18080397.232336396,1999674003.3916708,1628809953.0818372,305892177.89184,64971872.417993698,1544537606.1989809,13002541.796153032,1392309787.0582495,72510330.54785298,48218798.250784087,1288966370.081275,599064837.8372654 
 01/02  19:00:00,3409746021.50053,0.0,328429716.32251659,1128360457.4785848,74984400.0,716799361.7081372,305066057.1428565,396739862.2797197,156610167.98101477,52583243.26681027,232102430.84264506,18070324.478245006,1821203370.3245612,1418291565.7587078,305892177.89184,97019626.67401345,1544237125.0970615,5452549.985497272,1419141219.3034032,59589688.58116825,48067119.91714515,1104907155.092071,602132038.2171377 
