Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/11  20:00:00,236385833.0526199,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.01740667751735684,7519568.3484132089,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2946371.3179410786,22099915.04578326,0.0,0.0 
 03/11  21:00:00,236179413.0856257,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.017532486209538013,7313148.381293216,21920179.666973395,0.0,11540448.000000002,10379731.666973394,0.0,0.0,2946371.3052359928,21730773.01364532,0.0,0.0 
 03/11  22:00:00,235667104.19998578,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.01740387370601172,6800839.495781918,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2946371.3184437577,19682967.271763434,0.0,0.0 
 03/11  23:00:00,238188268.54813389,0.0,0.0,85725350.6868,37868400.0,105272514.0,3117294.49096814,19362.602554786263,6185346.767810906,34260277.73535622,12340341.365936868,11540448.000000002,10379488.369419352,5220981.545785653,22040172.80901829,2946371.3283352449,17019478.344606524,10994319.036295258,0.0 
 03/11  24:00:00,243900800.6190233,0.0,0.0,85725350.6868,37868400.0,105272514.0,6234588.98193628,43075.16245225902,8756871.78783473,39563546.01091323,27951098.01091323,11540448.000000002,72000.0,12556383.068383737,40082345.488213468,2946371.3099447928,19896522.94032348,24098336.353651667,0.0 
 03/12  01:00:00,242821271.85324905,0.0,0.0,85725350.6868,37868400.0,105272514.0,7793236.22742035,74372.95100945272,6087397.988019243,60760719.63544938,49148271.63544938,11540448.000000002,72000.0,23609375.344384824,44739572.34086942,2942850.709456815,16674760.314115987,39156784.811303589,0.0 
 03/12  02:00:00,245841494.50279115,0.0,0.0,85725350.6868,37868400.0,105272514.0,10837545.804478802,91371.60593243265,6046312.405579898,132046468.55010763,110126787.06335187,11540448.000000002,10379233.486755746,26046639.90156061,24436348.91576295,2942850.6866065368,16550398.376315993,87246149.42679632,0.0 
 03/12  03:00:00,252328546.89558143,0.0,0.0,85725350.6868,37868400.0,105272514.0,17263504.95011547,181256.51312784,6017520.745538121,213700460.69383634,202088012.69383634,11540448.000000002,72000.0,47034203.13148275,27400834.445336477,2942850.710601512,16433169.561748684,156479974.2036502,0.0 
 03/12  04:00:00,250739118.65312,0.0,0.0,85725350.6868,37868400.0,105272514.0,14922175.701420613,189433.86964564303,6761244.395253737,229082912.13094578,207162729.6010706,11540448.000000002,10379734.529875154,55433398.657063279,16973423.416267735,2942850.6982604779,19625107.54589825,157682360.59124468,0.0 
 03/12  05:00:00,254523047.48373733,0.0,0.0,85725350.6868,37868400.0,105272514.0,18652719.626775765,303799.03991814106,6700264.130243373,314403947.2373142,302791499.2373142,11540448.000000002,72000.0,94716276.94368042,19268251.686642879,2942850.711084494,19327499.852148326,223394556.9254819,0.0 
 03/12  06:00:00,250792629.13622207,0.0,0.0,85725350.6868,37868400.0,105272514.0,14922175.701420613,265719.0013649655,6738469.746636467,277092465.035735,255172677.72811456,11540448.000000002,10379339.307620468,87075910.79841788,14373701.991476367,2942850.7103234378,19863722.275014778,190754009.8267904,0.0 
 03/12  07:00:00,219176254.271991,0.0,0.0,85725350.6868,6311400.0,105272514.0,15165025.671472947,181935.24713973233,6520028.666578322,189062418.0406608,177449970.0406608,11540448.000000002,72000.0,43135991.80824144,22971728.6718063,2942850.7069167864,19147911.391123356,137975291.5558418,0.0 
 03/12  08:00:00,203944645.0307345,0.0,0.0,85725350.6868,0.0,105272514.0,6234588.98193628,90335.1007337559,6621856.261264491,85183056.72317462,63256459.061628308,11540448.000000002,10386149.661546303,17463084.5921916,9996417.496787519,4904750.976464234,19547236.545509839,52479566.5111344,0.0 
 03/12  09:00:00,205638066.7181078,0.0,0.0,85725350.6868,0.0,105272514.0,7793236.22742035,56658.84443610052,6790306.959451319,52317994.910915318,40705546.910915318,11540448.000000002,72000.0,10996235.051404981,35789140.58540256,4904751.168976742,20191225.529575774,33572150.059830848,0.0 
 03/12  10:00:00,199418615.7656895,0.0,0.0,85725350.6868,0.0,105272514.0,1558647.24548407,6188.78094294235,6855915.052462459,26433516.464505357,4506696.720360667,11540448.000000002,10386371.744144688,957668.3185925345,9363088.016446796,4904751.176964232,20210015.00359045,3905149.041900969,0.0 
 03/12  11:00:00,200420886.1981746,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.02914751919694046,9423021.482227046,21926126.530803529,0.0,11540448.000000002,10385678.530803526,0.0,0.0,4904750.656217536,22965333.59758206,0.0,0.0 
 03/12  12:00:00,197875539.4526406,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.029117597845351025,6877674.73672298,21926348.911247054,0.0,11540448.000000002,10385900.911247049,0.0,0.0,4904751.133260779,19803794.01475368,0.0,0.0 
 03/12  13:00:00,198037480.5361688,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.02903755918632802,7039615.820331241,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,4904750.7216994869,20612968.433123489,0.0,0.0 
 03/12  14:00:00,198118204.9423725,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.017526921447689245,7120340.238045545,21919836.519784627,0.0,11540448.000000002,10379388.519784626,0.0,0.0,2942850.671605531,20913188.154293036,0.0,0.0 
 03/12  15:00:00,198090197.050942,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.01739834838174856,7092332.346743624,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2942850.6826021617,20708462.686964144,0.0,0.0 
 03/12  16:00:00,197718816.44190634,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.017521087858330385,6720951.737585229,21920193.91891648,0.0,11540448.000000002,10379745.918916479,0.0,0.0,2942850.7053502269,18663057.108951697,0.0,0.0 
